Cluster,MMR_Keywords,Assigned_Topic
0,"hood, yup, bites, much, classic, good, nope, ye, yeah",0
1,"buddi, tomt, eric, caesar, karl, joe, biden, isaac",4
2,"expans, inde, neat, much, ah, cool",4
3,"ok, guess, sure",0
4,"buck, creativ, sea, laughabl, friend, bankrupt, eo, mani, hair, worth",1
5,"game, anythink, vibe, monument, damn, grandper, littl, abandon, meltdown, look",3
6,good,0
7,"wow, wth, stuff, great, job, brilliant",3
8,"replay, minut, quit, stomach, hour, couldnt, annoy, gunplay, soak, talk",0
9,"pack, everi, bundl, custom, placehold, dress, bdsm, grenad, tier, awesom",3
10,"bundl, unnecessari, pvp, bone, otherwis, map, decent, challeng, stori, charm",5
11,"bundl, fish, didnt, offshor, useless, alreadi, buyabl, play, system, spi",1
12,"diablo, satisfi, simplest, enjoy, successor, bad, dual, instanc, depth, build",8
13,"ezio, ryzen, arent, faction, gradual, satisfi, overshadow, decent, replay, empir",9
14,"game, glock, sad, hangov, cowboy, much, carton, csgo, adapt, shet",3
15,"zombi, firearm, hell, multiplay, list, move, famili, stupid, activ, mess",2
16,"batman, satisfi, subplot, openworld, orign, play, fact, oppos, wasnt, motiv",9
17,"excel, overstretch, mmorpg, carbon, horribl, enjoy, true, constraint, vietnam, releas",6
18,"falloutvers, metafict, choic, samurai, text, libertarian, involv, whini, everyth, hey",9
19,"gta, opinion, nutshel, hong, stori, hybrid, entri, sleep, tho, probabl",6
20,"fire, privat, enjoy, permiss, sit, engag, matrix, tough, twin, patch",3
21,"halflif, hasnt, life, multiplay, haha, discourag, remak, complet, mani, insuffer",8
22,"playthroughid, underpr, microwav, stupid, scandanavian, alot, invest, demon, releas, environ",1
23,"deck, abilitiesunitsbuild, cancelconfirm, true, fullscreen, readi, autopilot, rival, threshold, basic",5
24,"playstyl, citi, censorship, crazi, lightbear, modern, terraform, heret, wander, textur",1
25,"simul, slumlord, flight, play, wickth, presid, collaps, godzilla, sydney, liter",4
26,"gamemod, buggi, orc, stay, stori, recent, clunki, allow, import, half",8
27,"casual, delight, bug, room, voic, play, puzzl, gmod, first, clair",4
28,"pretti, manipul, refund, dull, everyth, jump, yeah, curv, crosshair, element",3
29,"tabl, upgrad, submit, opinion, pinbal, overlap, motiv, reinterpret, bethesda, samurai",2
30,"doom, basic, inaccur, justifi, rememb, podcast, hear, shotgun, greatest, workunfortun",9
31,"vampir, bland, tunnel, trigger, survivorslik, testament, sure, goodreplay, tetris, major",3
32,"boardgam, clunki, realism, remast, impress, pipe, qualiti, els, doesnt, fun",7
33,"digit, worlf, rulebook, everybodi, play, ui, boardcard, okayish, mechanicwis, consult",2
