Cluster,MMR_Keywords,Assigned_Topic
0,"hood, yup, bites, much, classic, good, nope, ye, yeah",Music
1,"buddi, tomt, eric, caesar, karl, joe, biden, isaac",Character
2,"expans, inde, neat, much, ah, cool",Story
3,"ok, guess, sure",Social Experience
4,"buck, creativ, sea, laughabl, friend, bankrupt, eo, mani, hair, worth",Music
5,"game, anythink, vibe, monument, damn, grandper, littl, abandon, meltdown, look",Music
6,good,Social Experience
7,"wow, wth, stuff, great, job, brilliant",Music
8,"replay, minut, quit, stomach, hour, couldnt, annoy, gunplay, soak, talk",Gameplay
9,"pack, everi, bundl, custom, placehold, dress, bdsm, grenad, tier, awesom",Character
10,"bundl, unnecessari, pvp, bone, otherwis, map, decent, challeng, stori, charm",Character
11,"bundl, fish, didnt, offshor, useless, alreadi, buyabl, play, system, spi",Gameplay
12,"diablo, satisfi, simplest, enjoy, successor, bad, dual, instanc, depth, build",Character
13,"ezio, ryzen, arent, faction, gradual, satisfi, overshadow, decent, replay, empir",Character
14,"game, glock, sad, hangov, cowboy, much, carton, csgo, adapt, shet",Character
15,"zombi, firearm, hell, multiplay, list, move, famili, stupid, activ, mess",Social Experience
16,"batman, satisfi, subplot, openworld, orign, play, fact, oppos, wasnt, motiv",Character
17,"excel, overstretch, mmorpg, carbon, horribl, enjoy, true, constraint, vietnam, releas",Character
18,"falloutvers, metafict, choic, samurai, text, libertarian, involv, whini, everyth, hey",Character
19,"gta, opinion, nutshel, hong, stori, hybrid, entri, sleep, tho, probabl",Music
20,"fire, privat, enjoy, permiss, sit, engag, matrix, tough, twin, patch",Character
21,"halflif, hasnt, life, multiplay, haha, discourag, remak, complet, mani, insuffer",Music
22,"playthroughid, underpr, microwav, stupid, scandanavian, alot, invest, demon, releas, environ",Social Experience
23,"deck, abilitiesunitsbuild, cancelconfirm, true, fullscreen, readi, autopilot, rival, threshold, basic",Gameplay
24,"playstyl, citi, censorship, crazi, lightbear, modern, terraform, heret, wander, textur",Story
25,"simul, slumlord, flight, play, wickth, presid, collaps, godzilla, sydney, liter",Story
26,"gamemod, buggi, orc, stay, stori, recent, clunki, allow, import, half",Performance
27,"casual, delight, bug, room, voic, play, puzzl, gmod, first, clair",Music
28,"pretti, manipul, refund, dull, everyth, jump, yeah, curv, crosshair, element",Performance
29,"tabl, upgrad, submit, opinion, pinbal, overlap, motiv, reinterpret, bethesda, samurai",Character
30,"doom, basic, inaccur, justifi, rememb, podcast, hear, shotgun, greatest, workunfortun",Music
31,"vampir, bland, tunnel, trigger, survivorslik, testament, sure, goodreplay, tetris, major",Story
32,"boardgam, clunki, realism, remast, impress, pipe, qualiti, els, doesnt, fun",Character
33,"digit, worlf, rulebook, everybodi, play, ui, boardcard, okayish, mechanicwis, consult",Gameplay
34,"payn, true, diablo, ujibfdiyugvbdyuhgvf, worth, maxpayn, peopl, quit, comput, rock",Music
35,"gameplay, aesthet, bother, benchmark, timeless, offer, lotr, besid, seri, isnt",Character
36,"rockstar, bdsm, card, dumbest, awesom, remak, play, suppos, tri, origin",Music
37,"hate, busta, tax, stand, game, bah, everyth, divin, gon, caus",Score & Ranking
38,"roguelikelit, base, true, grindi, wrap, deck, hybrid, tactic, enjoy, decent",Character
39,"roguelik, deckbuild, upgrad, attract, break, sot, quasimorph, mindless, immens, form",Character
40,"psycholog, fair, rtx, jumpscar, sorri, guard, rpg, enjoy, ultracop, subermass",Character
41,"ui, watermelon, play, hell, interfac, hous, crash, chang, minut, youll",Gameplay
42,"simpl, differ, ui, tire, fun, varieti, dimension, didnt, someth, elect",Character
43,"game, surviv, realli, multipl, decentish, stay, didnt, environ, scari, kinda",Social Experience
44,"addict, youll, readi, challeng, wonder, year, spend, littl, suck, healthier",Story
45,"gay, timeless, bound, hustl, enjoy, dull, chartin, wast, weaker, play",Story
46,"rpg, cautionari, shame, bread, depress, releas, overload, cancer, realist, chase",Story
47,"fun, inexpens, ludicr, ton, meet, ye, special, world, price, alot",Music
48,"addict, cent, entertain, extrem, kinda, start, hour, realist, everyon, td",Character
49,"game, favourit, fromsoft, inde, folk, first, titl, hollow, goti, hotlin",Music
50,"game, weirdest, badass, scroll, salim, complet, fpsrpg, greatest, van, wont",Performance
51,"realli, twinstick, enjoy, wouldnt, peopl, nerv, steampunk, addict, btec, lag",Social Experience
52,"redempt, amaz, play, alien, brutal, undersea, baldass, peopl, first, oppress",Story
53,"rpg, alreadi, overcomplex, didnt, pregger, nirvana, equip, innov, sit, shootingbombingfootbal",Gameplay
54,"clown, bless, overwatch, getoutofmyheadgetoutofmyheadgetoutofmyheadgetoutofmyheadgetoutofmyhead, base, play, havent, ohio, men, twa",Music
55,"bear, easi, didnt, gameplay, supercool, bias, offer, consist, grindi, stupid",Character
