Steam ID,App ID,Game Name,Playtime (hours),Genres,Achievements
76561198032398246,12900,AudioSurf,0.0,Indie,2
76561198032398246,18500,Defense Grid: The Awakening,0.0,"Indie, Strategy",22
76561198032398246,4560,Company of Heroes - Legacy Edition,0.0,"Action, Strategy",0
76561198032398246,9340,Company of Heroes: Opposing Fronts,0.0,"Action, Strategy",0
76561198032398246,20540,Company of Heroes: Tales of Valor,0.0,Strategy,0
76561198032398246,228200,Company of Heroes,0.0,"Action, Strategy",0
76561198032398246,22370,Fallout 3: Game of the Year Edition,0.0,RPG,0
76561198032398246,4700,Total War: MEDIEVAL II – Definitive Edition,0.0,Strategy,0
76561198032398246,42700,Call of Duty®: Black Ops,0.0,Action,4
76561198032398246,42710,Call of Duty®: Black Ops,0.0,Action,0
76561198032398246,10500,Total War: EMPIRE – Definitive Edition,0.0,Strategy,0
76561198032398246,34030,Total War: NAPOLEON – Definitive Edition,0.0,Strategy,2
76561198032398246,91600,Sanctum,0.0,"Action, Casual, Indie, Strategy",1
76561198032398246,58610,Wargame: European Escalation,0.0,"Indie, Simulation, Strategy",2
76561198032398246,63380,Sniper Elite V2,0.0,Action,0
76561198032398246,39540,SpellForce - Platinum Edition,0.0,"Action, RPG",0
76561198032398246,201790,Orcs Must Die! 2,0.0,"Action, Adventure, Indie, RPG, Strategy",2
76561198032398246,34330,Total War: SHOGUN 2,0.0,Strategy,5
76561198032398246,57690,Tropico 4,0.0,"Simulation, Strategy",5
76561198032398246,109600,Neverwinter,0.0,"Action, Adventure, Massively Multiplayer, RPG, Free To Play",0
76561198032398246,212500,The Lord of the Rings Online™,0.0,"Action, Adventure, Massively Multiplayer, RPG, Free To Play",0
76561198032398246,218230,PlanetSide 2,0.0,"Action, Massively Multiplayer, Free To Play",0
76561198032398246,1083500,PlanetSide 2 - Test,0.0,"Action, Free To Play, Massively Multiplayer",0
76561198032398246,230410,Warframe,0.0,"Action, RPG, Free To Play",0
76561198032398246,236390,War Thunder,0.0,"Action, Massively Multiplayer, Simulation, Free To Play",6
76561198032398246,238960,Path of Exile,0.0,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play",75
76561198032398246,39120,RIFT,0.0,"Action, Adventure, Massively Multiplayer, RPG, Free To Play",0
76561198032398246,234330,MARVEL Puzzle Quest,0.0,"Casual, RPG, Strategy, Free To Play",0
76561198032398246,248570,Toribash,0.0,"Action, Indie, Strategy, Free To Play",0
76561198032398246,250740,Unknown,0.0,,0
76561198032398246,202090,Unknown,0.0,,0
76561198032398246,235340,Prime World,0.0,"Action, Free To Play, Massively Multiplayer, RPG",0
76561198032398246,48240,Anno 2070™,0.0,Strategy,0
76561198032398246,222750,Wargame: Airland Battle,0.0,"Indie, Simulation, Strategy",0
76561198032398246,242920,Banished,0.0,"Indie, Simulation, Strategy",0
76561198032398246,244850,Space Engineers,0.0,"Action, Indie, Simulation, Strategy",3
76561198032398246,246420,Kingdom Rush  - Tower Defense,0.0,Strategy,39
76561198032398246,218620,PAYDAY 2,0.0,"Action, RPG",0
76561198032398246,4570,"Warhammer 40,000: Dawn of War - Anniversary Edition",0.0,Strategy,0
76561198032398246,4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",0.0,Strategy,0
76561198032398246,9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",0.0,Strategy,0
76561198032398246,9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",0.0,Strategy,0
76561198032398246,251060,Wargame: Red Dragon,0.0,"Indie, Simulation, Strategy",0
76561198032398246,49520,Borderlands 2,0.0,"Action, RPG",29
76561198032398246,217490,Unknown,0.0,,0
76561198032398246,107410,Arma 3,0.0,"Action, Simulation, Strategy",5
76561198032398246,219990,Grim Dawn,0.0,"Action, Adventure, Indie, RPG",0
76561198032398246,9350,Supreme Commander,0.0,Strategy,0
76561198032398246,9420,Supreme Commander: Forged Alliance,0.0,Strategy,0
76561198032398246,39650,The Guild II,0.0,"Simulation, Strategy",0
76561198032398246,55110,Red Faction®: Armageddon™,0.0,Action,0
76561198032398246,247000,Talisman: Digital Classic Edition,0.0,"Indie, RPG, Strategy, Free To Play",1
76561198032398246,22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,0.0,RPG,0
76561198032398246,249130,LEGO® Marvel™ Super Heroes,0.0,"Action, Adventure",0
76561198032398246,261430,Unknown,0.0,,0
76561198032398246,261550,Mount & Blade II: Bannerlord,0.0,"Action, Indie, RPG, Simulation, Strategy",0
76561198032398246,261640,Borderlands: The Pre-Sequel,0.0,"Action, RPG",1
76561198032398246,262060,Darkest Dungeon®,0.0,"Indie, RPG, Strategy",13
76561198032398246,262120,Toy Soldiers: Complete,0.0,"Action, Casual, Indie, Simulation, Strategy",1
76561198032398246,39210,FINAL FANTASY XIV Online,0.0,"Massively Multiplayer, RPG",0
76561198032398246,44350,GRID 2,0.0,"Racing, Sports",4
76561198032398246,22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,0.0,RPG,0
76561198032398246,226840,Age of Wonders III,0.0,"RPG, Strategy",9
76561198032398246,8930,Sid Meier's Civilization® V,0.0,Strategy,14
76561198032398246,235460,METAL GEAR RISING: REVENGEANCE,0.0,Action,1
76561198032398246,251570,7 Days to Die,0.0,"Action, Adventure, Indie, RPG, Simulation, Strategy",6
76561198032398246,200510,XCOM: Enemy Unknown,0.0,Strategy,25
76561198032398246,278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,0.0,Action,0
76561198032398246,281610,Homeworld: Deserts of Kharak,0.0,Strategy,4
76561198032398246,281990,Stellaris,0.0,"Simulation, Strategy",1
76561198032398246,282070,This War of Mine,0.0,"Adventure, Indie, Simulation",0
76561198032398246,291410,Duelyst,0.0,"Free To Play, Indie, Strategy",0
76561198032398246,293260,Card Hunter,0.0,"RPG, Strategy, Free To Play",1
76561198032398246,294100,RimWorld,0.0,"Indie, Simulation, Strategy",0
76561198032398246,108600,Project Zomboid,0.0,"Indie, RPG, Simulation, Early Access",0
76561198032398246,244160,Homeworld Remastered Collection,0.0,"Simulation, Strategy",5
76561198032398246,45760,Ultra Street Fighter® IV,0.0,Action,0
76561198032398246,9900,Star Trek Online,0.0,"Massively Multiplayer, RPG, Free To Play",0
76561198032398246,91200,Anomaly: Warzone Earth,0.0,"Action, Indie, Strategy",1
76561198032398246,236730,Anomaly 2,0.0,"Action, Indie, Strategy",2
76561198032398246,251530,Anomaly Korea,0.0,"Action, Strategy",0
76561198032398246,252170,Anomaly Warzone Earth Mobile Campaign,0.0,"Action, Strategy",0
76561198032398246,294750,Anomaly Defenders,0.0,"Action, Indie, Strategy",0
76561198032398246,311290,SpellForce 3 Reforced,0.0,"RPG, Strategy",1
76561198032398246,1416260,SpellForce 3 Versus Edition,0.0,"RPG, Strategy, Free To Play",0
76561198032398246,291480,Warface: Clutch,0.0,"Action, Massively Multiplayer, Free To Play",0
76561198032398246,227940,Heroes & Generals,0.0,"Action, Free To Play, Indie, Massively Multiplayer, Strategy",0
76561198032398246,316010,Magic Duels,0.0,"Free To Play, Strategy",1
76561198032398246,319050,Chaos Reborn,0.0,"Indie, RPG, Strategy",0
76561198032398246,319540,A Year Of Rain,0.0,"Indie, RPG, Strategy",3
76561198032398246,322910,"Warhammer 40,000: Regicide",0.0,"Action, Indie, Strategy",0
76561198032398246,329110,Gems of War - Puzzle RPG,0.0,"Action, Adventure, Casual, RPG, Strategy, Free To Play",11
76561198032398246,333420,Cossacks 3,0.0,"Action, Adventure, Strategy",2
76561198032398246,334920,Zero-K,0.0,"Indie, Simulation, Strategy, Free To Play",0
76561198032398246,235360,Prime World: Defenders,0.0,"Casual, Indie, RPG, Strategy",19
76561198032398246,346010,Besiege,0.0,"Indie, Simulation",0
76561198032398246,266510,Hand of Fate,0.0,"Action, Indie, RPG",0
76561198032398246,248610,Door Kickers,0.0,"Action, Indie, Simulation, Strategy",6
76561198032398246,363930,Dead Age,0.0,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",1
76561198032398246,364470,The Elder Scrolls®: Legends™,0.0,Free To Play,0
76561198032398246,372360,Tales of Symphonia,0.0,RPG,2
76561198032398246,375530,"Football, Tactics & Glory",0.0,"Simulation, Sports, Strategy",35
76561198032398246,378720,Thea: The Awakening,0.0,"Indie, RPG, Strategy",0
76561198032398246,331600,One Piece Pirate Warriors 3,0.0,Action,9
76561198032398246,383840,Nimbatus - The Space Drone Constructor,0.0,"Action, Indie, Simulation",1
76561198032398246,345180,Victor Vran ARPG,0.0,"Action, Adventure, Indie, RPG",0
76561198032398246,386070,Planetary Annihilation: TITANS,0.0,"Action, Indie, Strategy",2
76561198032398246,386360,SMITE®,0.0,"Action, Adventure, Casual, Massively Multiplayer, RPG, Strategy, Free To Play",0
76561198032398246,858460,Unknown,0.0,,0
76561198032398246,290340,Armello,0.0,"Adventure, Indie, RPG, Strategy",2
76561198032398246,226860,Galactic Civilizations III,0.0,Strategy,1
76561198032398246,394360,Hearts of Iron IV,0.0,"Simulation, Strategy",0
76561198032398246,215530,The Incredible Adventures of Van Helsing,0.0,"Action, Adventure, Indie, RPG",7
76561198032398246,272470,The Incredible Adventures of Van Helsing II,0.0,"Action, Adventure, Indie, RPG",0
76561198032398246,310510,Deathtrap,0.0,"Action, Adventure, Indie, RPG, Strategy",0
76561198032398246,359900,The Incredible Adventures of Van Helsing III,0.0,"Action, Adventure, Indie, RPG",0
76561198032398246,244450,Men of War: Assault Squad 2,0.0,"Action, Simulation, Strategy",9
76561198032398246,400750,Call to Arms - Gates of Hell: Ostfront,0.0,"Action, Simulation, Strategy",0
76561198032398246,405640,Pony Island,0.0,Indie,0
76561198032398246,408410,X-Morph: Defense,0.0,"Action, Indie, Strategy",3
