Cluster,MMR_Keywords
0,"hood, yup, bites, much, classic, good, nope, ye, yeah"
1,"buddi, tomt, eric, caesar, karl, joe, biden, isaac"
2,"expans, inde, neat, much, ah, cool"
3,"ok, guess, sure"
4,"buck, creativ, sea, laughabl, friend, bankrupt, eo, mani, hair, worth"
5,"game, anythink, vibe, monument, damn, grandper, littl, abandon, meltdown, look"
6,good
7,"wow, wth, stuff, great, job, brilliant"
8,"replay, minut, quit, stomach, hour, couldnt, annoy, gunplay, soak, talk"
9,"pack, everi, bundl, custom, placehold, dress, bdsm, grenad, tier, awesom"
10,"bundl, unnecessari, pvp, bone, otherwis, map, decent, challeng, stori, charm"
11,"bundl, fish, didnt, offshor, useless, alreadi, buyabl, play, system, spi"
12,"diablo, satisfi, simplest, enjoy, successor, bad, dual, instanc, depth, build"
13,"ezio, ryzen, arent, faction, gradual, satisfi, overshadow, decent, replay, empir"
14,"game, glock, sad, hangov, cowboy, much, carton, csgo, adapt, shet"
15,"zombi, firearm, hell, multiplay, list, move, famili, stupid, activ, mess"
16,"batman, satisfi, subplot, openworld, orign, play, fact, oppos, wasnt, motiv"
17,"excel, overstretch, mmorpg, carbon, horribl, enjoy, true, constraint, vietnam, releas"
18,"falloutvers, metafict, choic, samurai, text, libertarian, involv, whini, everyth, hey"
19,"gta, opinion, nutshel, hong, stori, hybrid, entri, sleep, tho, probabl"
20,"fire, privat, enjoy, permiss, sit, engag, matrix, tough, twin, patch"
21,"halflif, hasnt, life, multiplay, haha, discourag, remak, complet, mani, insuffer"
22,"playthroughid, underpr, microwav, stupid, scandanavian, alot, invest, demon, releas, environ"
23,"deck, abilitiesunitsbuild, cancelconfirm, true, fullscreen, readi, autopilot, rival, threshold, basic"
24,"playstyl, citi, censorship, crazi, lightbear, modern, terraform, heret, wander, textur"
25,"simul, slumlord, flight, play, wickth, presid, collaps, godzilla, sydney, liter"
26,"gamemod, buggi, orc, stay, stori, recent, clunki, allow, import, half"
27,"casual, delight, bug, room, voic, play, puzzl, gmod, first, clair"
28,"pretti, manipul, refund, dull, everyth, jump, yeah, curv, crosshair, element"
29,"tabl, upgrad, submit, opinion, pinbal, overlap, motiv, reinterpret, bethesda, samurai"
30,"doom, basic, inaccur, justifi, rememb, podcast, hear, shotgun, greatest, workunfortun"
31,"vampir, bland, tunnel, trigger, survivorslik, testament, sure, goodreplay, tetris, major"
32,"boardgam, clunki, realism, remast, impress, pipe, qualiti, els, doesnt, fun"
33,"digit, worlf, rulebook, everybodi, play, ui, boardcard, okayish, mechanicwis, consult"
34,"payn, true, diablo, ujibfdiyugvbdyuhgvf, worth, maxpayn, peopl, quit, comput, rock"
35,"gameplay, aesthet, bother, benchmark, timeless, offer, lotr, besid, seri, isnt"
36,"rockstar, bdsm, card, dumbest, awesom, remak, play, suppos, tri, origin"
37,"hate, busta, tax, stand, game, bah, everyth, divin, gon, caus"
38,"roguelikelit, base, true, grindi, wrap, deck, hybrid, tactic, enjoy, decent"
39,"roguelik, deckbuild, upgrad, attract, break, sot, quasimorph, mindless, immens, form"
40,"psycholog, fair, rtx, jumpscar, sorri, guard, rpg, enjoy, ultracop, subermass"
41,"ui, watermelon, play, hell, interfac, hous, crash, chang, minut, youll"
42,"simpl, differ, ui, tire, fun, varieti, dimension, didnt, someth, elect"
43,"game, surviv, realli, multipl, decentish, stay, didnt, environ, scari, kinda"
44,"addict, youll, readi, challeng, wonder, year, spend, littl, suck, healthier"
45,"gay, timeless, bound, hustl, enjoy, dull, chartin, wast, weaker, play"
46,"rpg, cautionari, shame, bread, depress, releas, overload, cancer, realist, chase"
47,"fun, inexpens, ludicr, ton, meet, ye, special, world, price, alot"
48,"addict, cent, entertain, extrem, kinda, start, hour, realist, everyon, td"
49,"game, favourit, fromsoft, inde, folk, first, titl, hollow, goti, hotlin"
50,"game, weirdest, badass, scroll, salim, complet, fpsrpg, greatest, van, wont"
51,"realli, twinstick, enjoy, wouldnt, peopl, nerv, steampunk, addict, btec, lag"
52,"redempt, amaz, play, alien, brutal, undersea, baldass, peopl, first, oppress"
53,"rpg, alreadi, overcomplex, didnt, pregger, nirvana, equip, innov, sit, shootingbombingfootbal"
54,"clown, bless, overwatch, getoutofmyheadgetoutofmyheadgetoutofmyheadgetoutofmyheadgetoutofmyhead, base, play, havent, ohio, men, twa"
55,"bear, easi, didnt, gameplay, supercool, bias, offer, consist, grindi, stupid"
56,"gamer, unpolish, proudest, ape, wast, scroll, day, review, ok, lick"
57,"soul, ok, prescenc, nobodi, tower, special, play, cleanser, depressuris, morgott"
58,"ubisoft, everyth, boycott, patch, requir, multiplay, suggest, rockstar, unecessari, refund"
59,"pay, extrem, chines, certifi, swim, social, sensit, intern, govern, element"
60,"gameplay, fastpac, got, honestli, excel, spire, deckbuild, spend, predetermin, cuz"
61,"deck, requir, easi, chararact, havent, pathway, sure, unpredict, excel, semirandom"
