Cluster,MMR_Keywords
0,"hood, certifi, yup, bites, want, classic, good, nope, ye, yeah"
1,"buddi, happen, tomt, eric, caesar, littl, karl, joe, biden, isaac"
4,"buck, creativ, sea, laughabl, friend, expens, bankrupt, mani, hair, worth"
5,"game, anythink, vibe, monument, like, littl, grandper, thank, abandon, truli"
8,"replay, minut, say, stomach, hour, complet, start, handl, didnt, gunplay"
9,"pack, everi, bundl, custom, placehold, dress, bdsm, like, buyabl, grenad"
10,"bundl, like, pvp, unnecessari, robe, map, otherwis, challeng, realli, bought"
11,"bundl, fish, like, offshor, restart, useless, alreadi, buyabl, play, togeth"
12,"diablo, satisfi, simplest, alot, successor, enjoy, dual, instanc, depth, build"
13,"creed, swap, shouldnt, manner, upgrad, legendari, skeptic, basic, florenc, subplot"
14,"game, glock, sad, hangov, cowboy, carton, better, csgo, miss, im"
15,"zombi, like, ufc, activ, stay, flaw, famili, multiplay, everyon, custom"
16,"batman, satisfi, enjoy, subplot, openworld, like, oppos, invest, enemi, basic"
17,"excel, entertain, innov, threshold, acrobat, complet, true, vietnam, seri, rampingup"
18,"falloutvers, metafict, motiv, rate, heavili, limitless, dialogu, libertarian, samurai, differ"
19,"gta, opinion, nutshel, hong, yknow, stori, hybrid, sleep, tho, dog"
20,"flame, privat, enjoy, tough, twin, permiss, sit, patch, ngl, matrix"
21,"halflif, life, multiplay, remind, discourag, complet, actual, littl, insuffer, expand"
22,"deck, microwav, analayz, like, requir, bummer, invest, underpr, cyberpunk, everi"
23,"deck, abilitiesunitsbuild, cancelconfirm, true, fullscreen, readi, autopilot, rival, threshold, basic"
24,"playstyl, enabledis, tribal, paradox, suggest, like, winrar, sleev, groundbreak, minimap"
25,"simul, slumlord, flight, play, wickth, presid, collaps, godzilla, sydney, liter"
26,"gamemod, buggi, orc, stay, stori, recent, clunki, ill, map, offici"
27,"casual, delight, bug, fli, look, obama, game, mayb, banger, commun"
28,"pretti, manipul, refund, dull, heheh, everyth, jump, narrat, crosshair, element"
