No,Steam ID,Total Game,Total Playtime,Total Achievement,Genres Dominan,Dominant Topic
1,76561197960269409,618,0.3595949083258558,6543,Strategy,"[15, 78, 127]"
2,76561197962437769,1607,0.2249058435018282,2638,"Action, Indie, Racing, Sports","[15, 46, 107]"
3,76561197963260222,2079,0.40208792416205297,7612,"Casual, Indie, Simulation, Strategy","[134, 174, 211]"
4,76561197963740541,94,0.010978820637720795,3699,Action,"[257, 39, 42]"
5,76561197964099717,611,0.12891708327483525,2851,"Action, Adventure, Massively Multiplayer, RPG, Early Access","[67, 104, 141]"
6,76561197970569635,134,0.09616730658495247,630,Strategy,"[15, 78, 127]"
7,76561197970698176,806,0.3378621032048817,3681,"Adventure, Indie, RPG",[]
8,76561197970816943,1764,0.0,1211,Action,"[257, 24, 73]"
9,76561197971757081,1313,0.01662770184894673,491,Action,"[10, 28, 30]"
10,76561197974286855,257,0.3678929901987715,1928,"Action, Free To Play","[257, 115, 333]"
11,76561197976281073,274,0.3981054756251158,1802,Action,"[257, 39, 42]"
12,76561197977775722,856,0.19433982611314243,2176,Strategy,"[19, 70, 147]"
13,76561197977935089,591,0.6277995153305703,3517,RPG,"[55, 107, 333]"
14,76561197980320608,142,0.043562259267624207,1146,"Action, Adventure, RPG","[17, 34, 41]"
15,76561197983588742,738,0.32867485029574606,8615,"Action, Adventure","[26, 21, 70]"
16,76561197985705149,613,0.09182929136934376,2563,"Adventure, Indie, Simulation, Strategy","[76, 124, 160]"
17,76561197986997483,1025,0.15159908356376497,3950,"Casual, Indie, RPG, Simulation, Strategy, Free To Play",[408]
18,76561197991784193,823,0.0,4407,Casual,[333]
19,76561197992783558,1983,1.0,13827,"Action, Adventure, Indie, RPG","[146, 164, 225]"
20,76561197992939661,152,0.0947979424948471,431,Strategy,"[180, 370, 390]"
21,76561197993895820,194,0.02096520838547294,487,"Action, Free To Play","[257, 115, 333]"
22,76561197996378643,370,0.0,1708,RPG,[]
23,76561197996907347,1301,0.28490810203695455,6255,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play","[225, 0, 19]"
24,76561197996986882,631,0.33579076198091845,3982,"RPG, Simulation, Strategy","[88, 105, 230]"
25,76561197997004952,214,0.27596755848283416,3898,"Action, Adventure",[]
26,76561197998141809,4591,0.578930207195164,9207,Strategy,[40]
27,76561197998383791,569,0.43099971717443014,4470,"Action, Free To Play","[257, 115, 333]"
28,76561197999259031,565,0.20050705130944174,3166,"Simulation, Strategy","[127, 215, 238]"
29,76561197999482693,440,0.1731309604471493,2404,"Action, Adventure, Free To Play","[57, 58, 104]"
30,76561198002458772,856,0.21429581519892407,6870,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play","[225, 0, 19]"
31,76561198003412713,346,0.5484369309152765,3610,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","[147, 421]"
32,76561198004559773,437,0.23630025494995618,4293,Action,"[10, 275, 524]"
33,76561198004572694,761,0.0,4672,"Action, RPG","[339, 567, 570]"
34,76561198006756264,653,0.4099139518464034,5937,"Simulation, Strategy, Free To Play","[166, 257, 438]"
35,76561198006850313,252,0.1982510595785289,1270,"Action, Simulation, Strategy","[22, 201, 208]"
36,76561198006906614,5111,0.5935089496997776,8626,"Casual, Free To Play, Indie, Strategy",[536]
37,76561198009353718,837,0.3635041070749122,6201,"Action, Adventure, Indie, Massively Multiplayer, RPG","[13, 77, 167]"
38,76561198011248114,383,0.17431872610480012,2218,"Casual, Indie, Simulation","[65, 3, 33]"
39,76561198011413162,889,0.4090156245866983,3420,"Action, Massively Multiplayer, Simulation, Free To Play","[104, 174, 278]"
40,76561198011617878,235,0.06966817846089988,2071,RPG,"[425, 19, 30]"
41,76561198011778207,522,0.5106827694117025,2322,"Casual, Indie, Simulation","[65, 3, 33]"
42,76561198011803825,493,0.1975755337569613,4091,Action,"[5, 20, 125]"
43,76561198012450682,243,0.5970356217787899,7779,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","[147, 421]"
44,76561198013735074,1032,0.823810352229744,3214,"Casual, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play",[518]
45,76561198019915068,356,0.0,1429,Action,"[127, 262, 341]"
46,76561198020340815,1786,0.0,7672,Action,"[127, 262, 341]"
47,76561198022439862,1009,0.40627740508557003,5218,"Simulation, Strategy","[127, 215, 238]"
48,76561198025344110,110,0.2538237406631955,1029,"Casual, RPG, Strategy, Free To Play","[160, 346]"
49,76561198025545215,315,0.2343774480180846,3436,"Action, Indie","[439, 464]"
50,76561198025583859,2898,0.5590998618427613,8278,"Indie, Strategy",[]
51,76561198025679656,676,0.12179608479883779,4293,"Action, Adventure",[]
52,76561198026073059,261,0.1623123737204178,3214,Action,"[151, 192, 317]"
53,76561198031295465,306,0.12440001302218452,1537,"Action, Adventure, Massively Multiplayer, RPG","[193, 333, 534]"
54,76561198031720187,342,0.17706304975491843,2516,Action,"[151, 192, 317]"
55,76561198032398246,429,0.0,1791,Indie,[]
56,76561198032898393,430,0.2349670070747087,2155,"Action, Indie, Racing, Sports","[15, 46, 107]"
57,76561198037222425,1226,0.2772748637248738,6061,"Adventure, Indie, RPG",[445]
58,76561198037246903,384,0.495722008916127,13098,"Action, Adventure",[]
59,76561198037653700,191,0.0,1522,Action,"[127, 262, 341]"
60,76561198040729539,206,0.19278784623241754,2986,"Action, Adventure, Casual, RPG, Strategy, Free To Play","[3, 249]"
61,76561198040865474,310,0.062213995185861175,1232,"Action, Adventure, Massively Multiplayer, RPG","[193, 333, 534]"
62,76561198041304371,380,0.10879577348723929,2562,Strategy,"[35, 85, 197]"
63,76561198042114922,328,0.5203202033088558,5271,"Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play","[281, 407]"
64,76561198043040051,777,0.2518047933847303,9656,Action,"[257, 545, 16]"
65,76561198043830933,865,0.20771147315497013,4467,"Action, Indie, Racing, Sports","[15, 46, 107]"
66,76561198045196300,2170,0.33325347071737993,8290,"Action, Adventure",[]
67,76561198046731438,568,0.3482737466656086,3299,"Action, Indie, Racing, Sports","[15, 46, 107]"
68,76561198047132031,243,0.07543252982385462,1280,"Action, Adventure, Free To Play","[50, 104, 138]"
69,76561198048144857,257,0.08645357082542339,588,RPG,"[23, 56, 87]"
70,76561198048640355,1541,0.43430918328521234,8582,"Simulation, Strategy","[23, 185, 200]"
71,76561198049296060,254,0.1856078409828494,3774,Action,"[68, 153, 262]"
72,76561198049611174,773,0.11831570251633369,2542,"Action, Casual, Indie",[258]
73,76561198057224143,213,0.44756942960797125,4641,"Action, Free To Play","[257, 115, 333]"
74,76561198060315786,91,0.011441209923718486,247,"Action, Adventure","[10, 22, 257]"
