feature,mean,std_dev
total_game,0.15822365306315686,0.18413809573781587
total_achievement,0.21088568741633404,0.18831593448974016
total_playtime,0.2941865765818848,0.2274157295756398
topic_count_1,0.3559322033898305,0.47879480989239104
topic_count_2,0.13559322033898305,0.3423560996054942
topic_count_3,0.11864406779661017,0.32336922081930364
topic_count_4,0.3898305084745763,0.48771168033688667
genre_count_1,0.8135593220338984,0.3894618743415614
genre_count_2,0.6610169491525424,0.47336406928030306
genre_count_9,0.8813559322033898,0.32336922081930364
genre_count_13,0.23728813559322035,0.42542035247495363
genre_count_15,0.05084745762711865,0.21968612536975798
genre_count_17,0.3559322033898305,0.478794809892391
topic_count_1_prop,0.24958289027944397,0.359381780412246
topic_count_2_prop,0.10688347048373142,0.2767099704087794
topic_count_3_prop,0.1000792855066922,0.2808119475273215
topic_count_4_prop,0.23342167409892725,0.3235352875987736
genre_count_1_prop,0.5366717140571199,0.3258212165180355
genre_count_2_prop,0.4528489087991044,0.3709323307510632
genre_count_9_prop,0.5727083929122084,0.2946727968539586
genre_count_13_prop,0.18049855158824948,0.3321378144664525
genre_count_15_prop,0.04186131638718117,0.18569577360723702
genre_count_17_prop,0.2319699287442776,0.3357767573499596
