archetype_1,archetype_2,archetype_3,archetype_4,archetype_5,archetype_6,archetype_7
76561197960269409,76561198004559773,76561197983588742,76561197962437769,76561198011803825,76561197998141809,76561197970698176
76561197985705149,76561198011413162,76561198006906614,76561197963260222,76561198025679656,76561197998383791,76561197977935089
76561197986997483,76561198105784816,76561198025583859,76561197992783558,76561198031720187,76561198009353718,76561197999482693
76561197996986882,,76561198045196300,76561197996907347,76561198041304371,76561198011778207,76561198003412713
76561198002458772,,76561198048640355,76561197999259031,76561198046731438,76561198037246903,
76561198022439862,,76561198088342032,76561198006756264,76561198068123705,76561198064800033,
76561198037222425,,76561198201248007,76561198032898393,76561198118915505,76561198108773562,
76561198061669144,,76561198336656213,76561198107047766,76561198147075448,76561198122292277,
76561198192893105,,76561198975545285,76561198121696622,76561198150437413,76561198170036259,
,,,,76561198159956177,,
,,,,76561198353192608,,
,,,,76561198796747013,,
,,,,76561198829145577,,
,,,,76561198961717161,,
,,,,76561199027285610,,
,,,,76561199041275399,,
