topic,keywords
0,"game, like, play, good, story, get, one, make, time, really, character, fun, well, feel, even, go, thing, lot, would, card, great, much, gameplay, bad, puzzle, also, way, new, see, use"
1,"crash, game, fix, port, bug, play, frame, work, server, issue, pc, get, run, second, controller, version, problem, even, per, time, try, update, steam, unplayable, still, bad, save, screen, full, setting"
2,"laugh, wife, fun, kid, loud, iraq, accidentally, game, murder, play, child, like, start, daughter, feed, smashey, eat, family, want, serve, mcpixel, come, humor, seat, life, please, ass, funny, poop, australia"
3,"frame, crash, per, second, stutter, choppy, freeze, fix, rate, screen, setting, ti, desktop, mouse, constantly, still, issue, option, performance, low, polling, even, bad, slow, slowmo, uplay, vsync, rtx, terrible, drop"
4,"half, remake, life, nostalgia, classic, source, game, old, childhood, caesar, still, year, play, iii, good, well, glorious, modern, age, original, graphic, make, one, even, finally, meme, quality, design, golden, awesome"
5,"vr, gta, well, great, flight, experience, good, game, really, like, set, make, people, hvr, know, amazing, fantastic, alyx, headset, play, quality, life, enjoy, sim, love, awesome, narration, one, show, certainly"
6,"music, audio, voice, sound, soundpad, soundtrack, smell, coma, annoying, choice, laugh, kill, driver, cringe, ah, enough, freak, vegas, player, uxui, wake, youtube, use, good, payne, loud, aesthetic, skin, get, video"
7,"story, dialogue, lore, end, book, quest, perfect, dead, interesting, tell, writing, escape, deliver, mystery, cover, slowly, without, mission, thing, explain, worth, stupid, face, mythic, bronx, mythological, cortoner, dimensionhoppe, withe, perverted"
8,"bundle, buy, pack, free, challenge, skin, cosmetic, buyable, frontier, map, customer, new, item, milk, reason, much, pvp, want, tiny, bad, shame, robe, since, unnecessary, bone, pretty, normally, charm, two, book"
9,"control, movement, aim, dpi, kick, combat, move, mouse, sensitivity, bob, indication, anxiety, disable, difficult, hit, want, escape, melee, mode, suffer, fight, getting, interact, awful, much, head, range, get, constantly, jump"
10,"english, character, game, hint, play, press, instruction, story, chinese, translate, japanese, language, make, button, spanish, get, simple, localization, text, maybe, way, well, insult, coop, part, frustrating, puzzle, know, one, knight"
11,"tutorial, tutorialization, minute, google, uxui, terrible, play, warship, game, elo, poor, instruction, uninstall, premium, tell, menu, confusing, answer, search, without, within, another, refund, bother, world, get, ask, purposeful, bonfire, justweird"
12,"detective, frog, game, deckbuilde, murder, good, mystery, dinosaur, clue, fan, combat, wow, story, cute, gameplay, solve, winwin, suerly, peppa, mitology, case, genre, play, demanding, di, omen, sleuthing, miss, element, one"
13,"figurine, arctic, jar, modeling, offering, resolution, graphic, use, see, pixel, house, realistic, pictures, surgeryd, autoface, snipping, art, setting, dank, excelent, beckon, look, anthology, mason, disney, inaccessible, redfield, wallpaper, plastic, high"
14,"hentai, girl, shovelware, want, instead, eh, anime, get, good, cute, wank, animoo, boob, porn, censor, clicker, rhythm, google, go, either, tldr, look, least, effort, really, nothing, make, gameplay, bother, draw"
