topic,keywords
0,"game, like, play, good, story, get, one, make, time, well, really, fun, feel, even, character, great, go, much, gameplay, lot, bad, would, thing, also, new, first, hour, think, see, still"
1,"crash, fix, game, port, bug, frame, run, per, play, issue, second, pc, update, work, version, steam, server, screen, get, setting, time, bad, gpu, problem, save, even, try, still, back, performance"
2,"laugh, wife, loud, eat, leave, australia, anger, man, ass, start, feed, people, smashey, screw, hell, kill, family, smell, iraq, check, dream, weed, guy, yes, uncle, bait, gi, seat, get, tom"
3,"controller, control, mouse, keyboard, button, work, option, xbox, movement, game, get, menu, support, sensitivity, move, play, awful, interface, gamepad, use, steam, would, input, icon, dpi, time, left, user, invert, screen"
4,"character, pregnant, terrify, mccaffrey, infant, anger, cope, abusive, chad, good, depressed, personality, james, never, call, yes, relationship, know, want, heart, think, without, cry, baldass, snark, zodiac, singer, ethnic, doubtkingdom, reprehensibly"
5,"story, dialogue, lore, writing, write, book, quest, cringe, perfect, end, really, tell, deliver, mystery, th, slowly, without, explain, mythological, perverted, timetravelling, resent, lilith, tragicomic, courtesy, dimensionhoppe, nenough, withe, cortoner, greekroman"
6,"bundle, buy, cosmetic, pack, skin, downloadable, frontier, buyable, want, much, free, content, customer, milk, challenge, pvp, tiny, shame, robe, contain, unnecessary, bone, item, reason, charm, new, two, nothing, book, without"
7,"audio, music, sound, soundpad, soundtrack, voice, driver, laugh, kill, cringe, ah, vegas, youtube, source, use, payne, loud, fuck, permission, davinci, sample, puchase, greentext, concert, nanomachine, latex, voicemod, splicecut, forchan, earphone"
8,"aim, hit, enemy, bullet, shoot, minute, shot, wall, getting, ai, boss, die, move, stop, kill, capture, military, design, bug, block, time, way, every, range, heretic, constantly, try, jump, right, take"
9,"assassin, creed, ezio, ac, series, brotherhood, since, game, story, entry, pirate, ezios, desmond, feel, like, revelation, naval, time, connor, villa, ubisoft, back, new, one, unity, odyssey, fan, also, altair, protagonist"
10,"hentai, flash, girl, shovelware, eh, want, anime, newground, wank, cute, boob, get, porn, censor, instead, free, rhythm, google, quality, good, tldr, either, sht, game, go, make, effort, least, look, nothing"
11,"detective, frog, deckbuilde, good, dinosaur, game, clue, hunt, mystery, combat, black, story, peppa, chemo, burgle, mitology, treament, pelt, solve, case, di, omen, sleuthing, therapy, schizophrenic, kitchen, miss, honour, haunted, element"
12,"life, half, remake, finally, source, original, community, brew, bruh, rendition, teary, insufferable, awesome, fledged, ahhh, amount, yes, hope, revamp, halflife, upside, hl, competition, student, get, shift, glorious, drink, valve, many"
13,"theater, multiplayer, hit, debuffs, war, playerplayer, management, tank, disconnect, micromanagement, mission, single, unbalanced, micro, plain, buff, front, achieve, impossible, dissapointe, chore, server, tiger, enemy, problem, soviet, balance, offer, even, huge"
14,"figurine, jar, arctic, modeling, offering, graphic, pixel, realistic, autoface, surgeryd, art, beckon, excelent, setting, disney, inaccessible, mason, redfield, wallpaper, use, look, plastic, explorer, see, chris, high, blurry, reflection, mean, flawless"
15,"miami, heat, hotline, nfs, hotseat, unbound, swish, fr, sham, worth, play, hm, bruh, auction, astro, florida, visibility, splinter, shootout, irl, cheese, overall, like, thing, acceptable, especially, phase, cell, thousand, sneak"
16,"wish, tho, level, mojave, zap, coverage, tametsi, obsidian, retribution, hexcell, dow, similiar, werewolf, sokoban, dual, patrol, lightning, get, horse, wolf, raid, fun, pistol, bear, chaos, complicated, tomb, rise, relax, creature"
17,"alyxe, masterpiece, pikuniku, akane, chuchel, thing, little, crunchy, love, beautiful, alyx, evolution, beauty, attractive, utter, pleasure, short, nice, bright, goofy, genuinely, wise, hurt, charming, wow, silly, expand, pretty, creature, wonderful"
18,"friend, spider, recc, racking, probability, friendship, nerve, trust, intense, chase, hurt, scary, test, surprisingly, touch, realize, true, course, later, fun, super, awesome, either, boring, sometimes, without, good, start, would, game"
19,"hitler, genocide, wyrm, kkk, unclean, atomic, fenris, eugenic, purge, politically, werewolf, realise, german, heretic, suffering, nazi, sex, mutant, commit, genuinely, mass, language, correct, burn, loud, plot, garbage, prefer, twist, bad"
20,"soul, dark, otherwise, wierdly, morgott, muh, cardinal, unforgiving, nobody, ever, shut, peak, alot, meh, near, tree, tower, dead, beat, tell, place, lose, one, probably, instead, combat, good, base, turn, start"
21,"get, steal, name, hustler, fide, bona, visa, fame, fly, winner, border, clock, em, stop, plane, bandit, paper, come, murder, let, day, make, catch, train, join, sit, cry, puking, viste, needy"
22,"series, supreme, pricey, hl, commander, successor, lover, strongly, totally, good, continue, entire, expansion, half, awesome, although, one, life, another, worth, love, recommend, bit, great, , , , , , "
23,"update, ass, tsukihime, coward, raw, ww, boat, recently, rough, touch, season, remake, horrible, finally, even, steam, expect, put, anything, quite, year, right, keep, good, turn, around, nice, work, love, take"
