Game,Top_Clusters,Top_Topic_Labels
#KILLALLZOMBIES,[341],"[""['shoot', 'freetoplay', 'automate', 'packaging', 'exam']""]"
#monstercakes,[589],[]
(the) Gnorp Apologue,"[20, 404]","[""['goooooooooooooooooooooooooooooood', 'supa', 'please', 'unjureihojkigfjsdzhuuuguruuuuuuuuufuuueuuuuuasuukuuuul', 'geyyyyyyy']""]"
*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),[257],"[""['mystery', 'guarantee', 'teach', 'hard', 'increasingly']""]"
.Forty-Five,[523],[]
10 Miles To Safety,"[95, 194]","[""['sound', 'amazing', 'whether', 'sfxs', 'background']"", ""['weapon', 'race', 'domina', 'recruit', 'repair']""]"
10 Minutes Till Dawn,[96],"[""['scene', 'gross', 'intrusive', 'apple', 'reusedchange']""]"
10 Second Ninja X,[296],"[""['gameplay', 'wonderful', 'british', 'retell', 'story']""]"
100 Asian Cats,[473],[]
100 hidden aliens,[186],"[""['hurt', 'grease', 'sleep', 'mvp', 'split']""]"
100 hidden cats,[57],"[""['hunting', 'cotw', 'implementation', 'lolwat', 'dlcs']""]"
100 hidden cats 2,[57],"[""['hunting', 'cotw', 'implementation', 'lolwat', 'dlcs']""]"
100 hidden cupcakes,[35],"[""['giant', 'hl', 'propaganda', 'mccaffrey', 'innit']""]"
100 hidden cups,[72],"[""['position', 'fuck', 'positive', 'posse', 'posledn']""]"
100 hidden dogs,[60],"[""['patience', 'roguelike', 'tinker', 'skeleton', 'dissuade']""]"
100 hidden eternals,[208],"[""['bow', 'characterization', 'actionadventure', 'exile', 'strategerize']""]"
100 hidden fish,[59],"[""['evil', 'resident', 'boomer', 'content', 'row']""]"
100 hidden frogs,[140],"[""['sexual', 'hella', 'sigmund', 'dm', 'adrian']""]"
100 hidden gnomes,[582],[]
100 hidden hares,[153],"[""['rid', 'hot', 'bellic', 'recently', 'frustrating']""]"
100 hidden mushrooms,[77],"[""['boring', 'asf', 'friend', 'meet', 'grindy']""]"
100 hidden rams,[466],[]
100 hidden snails,[108],"[""['come', 'love', 'nevermind', 'like', 'calm']""]"
100 hidden turtles,[16],"[""['steam', 'muh', 'starship', 'experince', 'run']""]"
