Game,cleaned_Reviews,num_words,review_length,embedding_0,UMAP_1,UMAP_2,lang,topic
The Binding of Isaac: Repentance,new isaac consider hold downloadable content dive far game namely defeat cathedral seoul boss time point probably know want progress furth big point note repentance target audience people already play afterbirth expansion want challenge reason downloadable content hard newcomer casual player whilst bunch quality life change really neat new item lot content namely new floor new character lock behind challenging barrier lot really cool item might see youtube something lock behind challenging content game offer I downloadable content get I hooked game I recommend c,85,568,-0.030920332,5.8948526,-0.0074924,en,0
Half-Life: Alyx,definitive vr game headset play heck buy headset,8,48,-0.057189733,12.565534,0.56061894,en,0
Max Payne 3,whilst story fairly average game good thirdperson shoot ever experience replayability stunt unskippable cutscene mod fix apparently,17,131,-0.06331786,7.84365,1.9880345,en,0
DARK SOULS™: Prepare To Die™ Edition,game one bad port ever grace modern pc game cap frame per second p limit game window live integration impossibletouse mouse keyboard control make play dark soul pc chore install mod call dsfix suddenly problem disappear enjoy one good yet incredibly overrate action rpgs date often people cite dark soul difficulty one strong point much difficult punish idiot move often result quick death idiot move result loss soul collect significant setback character progression oppose instancebase demon soul dark soul openworld title fight insanely atmospheric environment grow strong defeat incredibly tough boss monster begin niche title due oldschool rpg gameplay mechanic soon find large cult follow pc release despite obvious predsfix problem often quote gotay frankly plenty glare flaw well first half game learn die every five minute exciting full incredible environment rise explorationboner height never see understand combat mechanic well enough reach second half game thing seem slow quite bit face uninspired area boring boss anticlimactic ending soon understand parry hit dodge properly game almost become trivial though must understand I feel need criticise title due overwhelming respect I combat responsive feel weighty huge sword mace integrated multiplayer single player experience incredible allow play leave behind hint message people game come across well summon player world help progress total first playthrough accumulate hour unique game content enough pay unfortunately I say beginning need jump hurdle get fun include buy controller play large investment one game I highly doubt disappoint dark soul offer,242,1623,-0.019147115,7.6114793,-1.7920625,en,0
Garry's Mod,hard accurately describe garrys mod video game anything platform thank ease download seemingly infinite number usercreated modelstoysvehiclesweaponswhathaveyou play goal gmod default sandbox mode everything limit imagination good bad thing good sense creativity reward creation silly yet potentially complex contraption drive detonate ride fling etc bad sense well game goal keep occupy extended period time real fun garrys mod spawn build enjoyment friend multiplayer game truely shine allow massive level server modding customisation restrict build stuff game want play game whodunnit detective try discover discreet murderer among rank want watch youtube video virtual cinema friend hide seek roleplay survival avaliable thank gmod incredible modding community unfortunately gain full experience title source game like counterstrike source halflife strongly recommend make use asset find fun garrys mod find expect play time skyrocket,129,937,-0.056277227,8.66285,0.44034296,en,0
ELDEN RING Shadow of the Erdtree,personal experience play downloadable content hour downloadable content basically big berserk reference spectacle scale everything pure cinema new weapon gear mostly amazing messmer fun boss whole game I like final boss I could see anything enemy scaling loot balance inconsistent issue,41,286,-0.013675784,5.811769,-0.011840202,en,0
Detroit: Become Human,game really good however terrible performance despite really good pc I could progress story decide keep crash point,18,115,0.08494072,11.124756,0.6139975,en,1
The Last of Us™ Part I,game great performance bad keep freeze sometimes crash I get stable frame per second even low setting anyway tlou pc,20,116,0.08931262,11.350247,0.6237223,en,1
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,bch wear perfume revolver ocelot,5,32,-0.11650407,8.860873,4.759284,en,2
Pummel Party,year friendship ruin hour game,5,30,-0.044682153,10.630085,2.7368824,en,0
Turbo Overkill,basically run around kill thing get cool stuff help kill thing weapon skill unique fun game stylish basically doom gameplay ghostrunner level design,23,148,-0.024713013,8.249279,0.25231355,en,0
Ghostrunner,favourite part ghostrunner say ghostrunnin time one cool game ever,10,66,-0.027718017,7.1486344,3.5673525,en,0
BERSERK and the Band of the Hawk,gut single attractive man I ever see,7,36,0.011948131,9.6365185,4.695869,en,4
CODE VEIN,pro femboy cool character creation con combat janky unresponsive control weird story way cliche still passable many loading screen,19,130,-0.0113845365,6.595086,1.0911769,en,0
Mortal Shell,wow frog cute die instantly,5,27,-0.01519221,8.667969,4.7980113,en,11
Little Nightmares II,little nightmare I really wish see big one,8,42,0.0179039,7.1041837,3.4998283,en,0
Metro Exodus,press w artyom I run rail physically illogical slide jump height die,12,68,0.00035595053,7.977091,4.0819407,en,8
Capybara Spa,wife I marry year long get divorce game,8,39,-0.049169995,9.696728,4.055114,en,2
Hades,I usually like roguelike game fun I gameplay fantastic charactersgod unique entertaining make dash irl,15,102,-0.050151706,10.072067,-1.0430772,en,0
Outlast 2,I really like character set unique horror game however get scary weird first hour even scary weird last hour everything dull walking anything story go long,26,155,-0.051275477,6.990945,3.301144,en,0
The Wolf Among Us,fk zodiac sign tell I choice wolf among,8,39,-0.009306421,9.237551,5.4221716,en,4
Splitgate,finally game I completely suck,5,30,0.032110672,10.049481,3.181976,en,0
Far Cry 3,force sign terrible launcher performance horrible game good despite,9,67,0.036316276,11.237694,0.43507385,en,1
