Term,Tf,Df,Idf,c-TF-IDF
game,28.880552467795404,201,1.5666630334508258,45.246093936932084
good,14.001030752234197,86,2.4090226121974467,33.728799676204005
like,10.880512742298604,87,2.397593916373824,26.08705115796301
fun,9.913337493224102,71,2.598264611835975,25.757473993830935
well,8.540472795135182,58,2.7973932869463107,23.89106126445875
get,8.973399029705297,74,2.5574426173157203,22.94895310074784
play,9.921087747115328,96,2.3002197523486476,22.820682000698817
great,7.377521288981031,48,2.9831104327414035,22.007960724931124
bad,6.091758477336756,38,3.211369084722384,19.56288484571476
one,7.065864410363431,65,2.685275988825605,18.97379604144631
really,6.8100914245065844,61,2.7477963458069388,18.712744330870365
love,4.691189729813926,19,3.8791984572980396,18.198055962786594
time,6.271341882329663,54,2.8675975456195593,17.98368458950969
awesome,3.768815398733077,9,4.572345637857985,17.232326648289188
shooter,3.950112195760576,16,4.041717386795814,15.965237141399712
much,4.730093127069907,33,3.348570206235869,15.839048918027343
even,5.19571994395279,45,3.0462893343629354,15.82766624960017
first,4.950289845752802,40,3.161358664147723,15.64964169391311
make,5.2194915739395595,52,2.904638817299909,15.160737832234641
story,4.650684844712649,38,3.211369084722384,14.935065533097124
feel,4.722057382334482,40,3.161358664147723,14.92811701824583
card,3.5702826561349745,14,4.16688052974982,14.876941285552295
buy,4.148257633349645,27,3.5427262206768266,14.696141087790586
try,4.234560547255272,33,3.348570206235869,14.179723285040863
would,4.363103800762656,37,3.2373445711256448,14.124870402656654
lot,4.2935737195911345,36,3.264012818207806,14.014279656665634
still,4.334786702709585,38,3.211369084722384,13.920600005947243
character,4.163417689038175,34,3.319582669362617,13.820809205848883
nice,3.46975372408106,19,3.8791984572980396,13.459863293659373
experience,3.393379415362807,19,3.8791984572980396,13.163592193102325
classic,2.648963152596111,6,4.929020581796717,13.05679389956735
go,4.1181236377113475,42,3.113730615158468,12.822727647749584
enjoy,3.4258421455710604,23,3.6968769005040847,12.664916692735007
diablo,2.366961792002088,4,5.26549281841793,12.463220317256628
bit,3.3252406865694617,23,3.6968769005040847,12.293005482794989
content,3.1969280543610075,20,3.8304082931286074,12.245539731959903
recommend,3.575450438398094,32,3.37842316938555,12.079384602073839
worth,3.3961019201822125,29,3.473733349189875,11.79715249738472
back,3.074543917290648,20,3.8304082931286074,11.776758518378216
battle,2.904605747501391,16,4.041717386795814,11.739595551463424
campaign,2.9858457248100363,18,3.93049175168559,11.735841993171531
gun,2.7150825317179317,12,4.309981373390494,11.701955138922193
think,3.6046142359994553,37,3.2373445711256448,11.669378327915055
long,3.0318730694637406,20,3.8304082931286074,11.613311748987194
puzzle,2.683052070606544,12,4.309981373390494,11.563904448151003
hour,3.1502689000910977,24,3.65605490598383,11.517556067346343
gameplay,2.965029408136472,20,3.8304082931286074,11.357273234296148
enemy,3.10463171157496,24,3.65605490598383,11.350704000376613
also,3.438267848546544,35,3.2914117923959205,11.31675534212185
ever,2.6658004740050765,13,4.235873401236772,11.291993320842485
know,2.94744492312135,20,3.8304082931286074,11.289917477063828
say,2.9714885026397604,21,3.783888277493715,11.243780511845939
yet,2.370246173729823,8,4.677706153515811,11.087315112203298
friend,2.549121567405629,12,4.309981373390494,10.986666474026242
see,2.994428196061095,24,3.65605490598383,10.947793896825475
though,2.981449667043244,25,3.6168341928305483,10.783409099965262
people,2.7013044156733104,17,3.984558972955866,10.763506748156393
short,2.5817034661112315,15,4.102342008612249,10.591030582807955
real,2.639578798685124,17,3.984558972955866,10.51755738712488
weapon,2.6328461143314508,17,3.984558972955866,10.49073060927137
enjoyable,2.6272516610271195,17,3.984558972955866,10.468439180158814
thing,2.9531594952759614,28,3.5076349008655563,10.358605313452474
outlast,1.9623456469500113,4,5.26549281841793,10.332716911268971
easy,2.6881747889455747,20,3.8304082931286074,10.296807004956374
run,2.839362375051031,25,3.6168341928305483,10.269502923921124
many,2.8016803211468546,24,3.65605490598383,10.24309708312731
space,2.226031675910758,9,4.572345637857985,10.178186223084253
use,2.806401953751866,25,3.6168341928305483,10.150290545156205
pretty,2.8532937355712606,27,3.5427262206768266,10.108438532301236
level,2.6681867542264475,21,3.783888277493715,10.096120581481458
need,2.87529134973874,28,3.5076349008655563,10.085472288500435
system,2.5615332324831046,18,3.93049175168559,10.06808524194337
battlefield,1.980643901980337,5,5.083171261623976,10.067952162057225
new,2.6599613693240194,21,3.783888277493715,10.064996643971286
jep,1.7330163971137897,2,5.77631844218392,10.010454575255515
anything,2.355502178495768,13,4.235873401236772,9.977609024445494
player,2.6964801746865668,23,3.6968769005040847,9.968555270465988
enough,2.257675900316397,11,4.3900240810640305,9.9112515696269
crash,2.3358834837290043,13,4.235873401236772,9.894506717115977
mission,2.5023017086755575,18,3.93049175168559,9.835276226178037
money,2.4320412001944267,16,4.041717386795814,9.829623204229577
want,2.5100741170750522,19,3.8791984572980396,9.737075642661283
yes,2.206671392052844,11,4.3900240810640305,9.687340550107072
frog,1.6670383512990194,2,5.77631844218392,9.629344372436403
coop,2.3054848523976976,14,4.16688052974982,9.606679943089105
waste,2.037628488327581,8,4.677706153515811,9.531427318429046
break,2.0331787634058993,8,4.677706153515811,9.510612812781442
probably,2.485940855146873,21,3.783888277493715,9.406522460332951
keep,2.4966705672584597,22,3.7394365149228808,9.336141084939506
combat,2.406423194746536,19,3.8791984572980396,9.334993144666981
