Game,cleaned_Reviews,num_words,review_length,embedding_0,UMAP_1,UMAP_2,cluster
ACE COMBAT™ 7: SKIES UNKNOWN,major negative story character lame everything come across incredibly campy fun game otherwise every mission unique noticeably bad one,19,134,0.013183802,17.112667,5.8190017,11
ACE COMBAT™ 7: SKIES UNKNOWN,meh big meh bland storyline japanese melodrama ton make country name cheesy dialogue extremely arcade flight dynamic like almost like descent game past worth buck play fan series,28,178,-0.0037442609,18.61222,6.726864,-1
ACE COMBAT™ 7: SKIES UNKNOWN,honestly insane I use play ace combat game ps I completely disconnected year pc I able finally reconnect amazing franchise sky unknown I wish I soon outstanding game deliver much I expect dogfighting game gigantic amount varied aircraft outstanding modelling style tight exhilarating combat expert control I remember ace graphic nice although lod could well story well write character dub deliver en jp I basically nothing negative say one single technical issue competent game I itch go back revisit dear old ace combat someday relive memory I care multiplayer downloadable content mission also great,94,601,0.024338992,19.02071,5.985852,12
ACE COMBAT™ 7: SKIES UNKNOWN,I never play anything series one fun dogfighting get little irritate honestly real complaint bad storytelling like bad metal gear solid ripoff must japanese thing,25,162,-0.047840733,18.525732,6.3112226,11
ACE COMBAT™ 7: SKIES UNKNOWN,I highway danger zone,4,21,0.013515606,16.13822,5.6333356,11
ACE COMBAT™ 7: SKIES UNKNOWN,good ace combat game since glad return strangereal however funk think decide controller button display hud would damn xbox control real game native support ps controller legit think option ps button icon bro even indie devs support bs game top,40,243,-0.065717414,18.903873,5.992604,12
Age of Fear 2: The Chaos Lord GOLD,I buy game bundle together aof game share engine developer update frequently important mean aof obsolete compare aof different campaign I need hour complete campaign orc demon expert level nd however I find orc campaign lot difficult basically orc heal unit berserker trait make difficult disengage combat drink heal potion moreover ranged unit weak goblin assassin unlocked second half campaign useful I find story bit boring uninspired story important kind game interesting make curious motivate play instead demon campaign story nice dialogue hero demon lady knight funny I curious discover rest demon campaign also lot easy basically player summon lot imp range unit use cannon fodder weaken enemy game masterpiece traditional solid strategy game I enjoy I currently play aof I absolutely recommend bundle especially sale,126,825,-0.07574408,17.242153,7.079109,8
Age of Fear 2: The Chaos Lord GOLD,absolute travesty uiux clunky slow pure,6,39,0.008505766,19.777102,6.800771,11
Age of Wonders 4,take good aow aow planetfall add even customality I think favorite new addition ability player even ai play randomly generate faction faction still game standard race inherent ability start skill etc randomly choose,33,215,0.0021496585,17.015455,7.1395774,9
Age of Wonders 4,remove racial trait exchange customization optionsbut option mediocre get trait start game run like ass try run turn simultaneously cause memory leak run normal turn order minute turn ai finish move battle animation speed wrong apply stand animation make massive amount sound battle restart button work surrender option murder unit even escape unscaved force watch turn manually hit end turn button random crash always crash exit creme de la creme th installment entire thing feel like rush garbage need massive bug fix optimization comparison rig run civ fine worrythey time change hero pronoun,93,595,0.0041197403,19.448631,7.3609853,14
Age of Wonders 4,ok thing play civ homm whatever x aow redefine genre decade come less slap face dude edit negative review cpu melt highend computer disapear workaround option driver crash also disapear edit game still burn cpu even game browse still screen,40,240,-0.0012903988,19.97762,6.2731705,-1
Age of Wonders 4,I want love age wonder many good bit I love customisation faction tome magic development tree graphic great etc etc ai bad bad stack ai player many discount special cost truly joyless affair beyond first difficultly level I fight ai empire army like stack unit I afford pay upkeep keep develop I defeat one full slightly big army ai awful tactically within two turn completely replenish army I also defeat army show wear two turn laterhere come another army size keep happen tactically ai dumb post I play battle tactically I use autobattle feature general dumb I end play multiple fairly dull tactical battle watch army take I long time replace erode ais stupid countless force ruin sense play opponent vaguely similar clearly play human weird stupid computer spam army time fast I sure way around I sure strategy I could use account I equally sure I would find strategy fun disappointment I really look forward game spend far I get I wish I wait month sale I hour much x game standard I feel like I fun play dumb ai player update hear maybe fix ai somewhat nope still exactly thing spamme massive army far great rate human player minimal intelligence disappointing much well game maybe I miss something I willing convince I play wrong,216,1236,-0.010948054,18.928732,8.049104,-1
Antihero,get sale less I go I really call worth I finish campaign hour first difficult I realize half unit waste resource I get rather fast end make sound like come dev say I personal interest online multiplayer seem add flesh game abysmally short campaign plus multiplayer dead necessarily bad game justify base price,53,309,-0.00969317,19.400143,4.2984896,7
