Game,Genre,Review
ACE COMBAT™ 7: SKIES UNKNOWN,"Action, Simulation","My only major negative is the story. All the characters are lame and everything comes across as incredibly campy. It is a fun game otherwise. Every mission is unique, with the only noticeably bad one being #20."
ACE COMBAT™ 7: SKIES UNKNOWN,"Action, Simulation","MEH, big meh. Bland storyline, Japanese melodrama with tons of made up country names and cheesy dialogues, extremely arcade flight dynamics, like almost like Descent games of the past. Not worth the buck, play it only if you are a fan of the series."
ACE COMBAT™ 7: SKIES UNKNOWN,"Action, Simulation","Honestly? Just insane. I used to play Ace Combat games on the PS1, but I completely disconnected from it over the years. Now, on PC, I was able to finally reconnect with this amazing franchise through Skies Unknown, and I wish I did it sooner. Outstanding game, it delivers so much than I expected from a dogfighting game. A gigantic amount of varied aircrafts with outstanding modelling and style, tight exhilarating combat, the expert controls are just as I remember from Ace 3, the graphics are nice, although LOD could be better, story is very well written and character dub delivers both in EN and JP. I have basically nothing negative to say about this one, not a single technical issue, this is as competent as a game can be. I am itching to go back to revisit the my dear old Ace Combat 3 someday and relive those memories. I don't care about multiplayer, but the DLC missions are also great."
ACE COMBAT™ 7: SKIES UNKNOWN,"Action, Simulation",I've never played anything from this series before.  But this one was fun. Dogfighting can get a little irritating but honestly my only real complaint is the bad storytelling.  Like a bad Metal Gear Solid ripoff. must be a Japanese thing.
ACE COMBAT™ 7: SKIES UNKNOWN,"Action, Simulation",I'm on the highway to the danger zone
ACE COMBAT™ 7: SKIES UNKNOWN,"Action, Simulation",Best ace combat game since 4. Glad they returned to strangereal. However what the funk were they thinking when they decided the only controller buttons displayed on the HUD would be on the damn XBOX controls? for real this game has native support for PS4 controllers and they legit didn't think to have an option for PS4 button icons? bro even indie devs support that bs in their games. off top
Age of Fear 2: The Chaos Lord GOLD,"Indie, RPG, Strategy","I bought this game in a bundle together with AoF 1 and 3. All the games share the same engine and the developer updates all of them frequently: this is important because it means that AoF 1 and 2 are not obsolete compared to AoF 3: they just have different campaigns. I needed about 20 hours to complete both campaigns (orcs and demons) at the expert level (the 2nd of 4): however I found the orc campaign a lot more difficult. Basically orcs haven't healing units and the “berserker” trait makes difficult to disengage from combat to drink an healing potion; moreover the ranged units are very weak, only the goblin assassins, unlocked in the second half of the campaign, are useful. I found the story a bit boring and uninspired: the story is not so important in this kind of game but if it is interesting and makes you curious then it motivates you to play on. Instead the demon campaign story was very nice: the dialogues between the heroes (a demon lady and a knight) are very funny and I was curious to discover the rest of it. The demon campaign is also a lot easier: basically the player can summon a lot of imps (ranged units) and use them as cannon fodder to weaken the enemies. These games are not masterpieces but they are traditional and solid strategy games: I am enjoying them (I am currently playing AoF 3...) and I absolutely recommend the bundle, especially if in sale."
Age of Fear 2: The Chaos Lord GOLD,"Indie, RPG, Strategy","Absolute travesty. The UI/UX is so clunky and slow, it's just pure... ............................................________........................ ....................................,.-‘”...................``~.,.................. .............................,.-”...................................“-.,............ .........................,/...............................................”:,........ .....................,?......................................................\,..... .................../...........................................................,}.... ................./......................................................,:`^`..}.... .............../...................................................,:”........./..... ..............?.....__.........................................:`.........../..... ............./__.(.....“~-,_..............................,:`........../........ .........../(_....”~,_........“~,_....................,:`........_/........... ..........{.._$;_......”=,_.......“-,_.......,.-~-,},.~”;/....}........... ...........((.....*~_.......”=-._......“;,,./`..../”............../............ ...,,,___.\`~,......“~.,....................`.....}............../............. ............(....`=-,,.......`........................(......;_,,-”............... ............/.`~,......`-...............................\....../\................... .............\`~.*-,.....................................|,./.....\,__........... ,,_..........}.>-._\...................................|..............`=~-,.... .....`=~-,_\_......`\,.................................\........................ ...................`=~-,,.\,...............................\....................... ................................`:,,...........................`\..............__.. .....................................`=-,...................,%`>--==``....... ........................................_\..........._,-%.......`\............... ...................................,<`.._|_,-&``................`\.............."
Age of Wonders 4,Strategy,"Taking the best of AoW 3 and AoW Planetfall and adding even more customality!  I think my favorite new addition is the ability for you as the player and even the AI to play RANDOMLY GENERATED factions (the faction will still be of 1 of the game's standard races but all of their inherent abilities, starting skills, etc. will be randomly chosen)."
Age of Wonders 4,Strategy,"They removed racial traits in exchange for other customization options...but those options are mediocre and you only get 2 traits to start with. Game runs like ass and trying to run turns simultaneously just causes memory leaks and running it in normal turn order? Now at 5 minutes on turn 100 for the AI to finish moving. The battle animation speed up is done wrong as it applies to standing animations which make massive amounts of sound. The battle restart button doesn't work. The surrender option will not only murder most of your units even if they all escape unscaved, but it will force you to watch each turn and manually hit the end turn button. The random crashes and always crashing on exit? Creme de la Creme. For a 4th installment - the entire thing feels like rushed out garbage that needs massive bug fixes and optimizations - For comparison my rig runs the Civ 6 just fine. But don't worry....they had time for you to change your hero's pronouns."
Age of Wonders 4,Strategy,"Ok. Now that's a thing ! After playing civ, HoMM, whatever 4x, ... This AoW4 just redefine the genre for the decade to come ... No more no less. What a slap on my face dudes ! Edit: negative review until the CPU melting on highend computer disapear. And until this ""workaround"" option for drivers crash also disapear. Edit: Game is still burning CPU, even if not in game and browsing in still screens"
