Game,Dominant_Topic,Similarity_Score
7 Days to Die,1,0.30221097227522586
A Short Hike,2,0.271331328314076
A Way Out,0,0.4571371008048435
ASTRONEER,0,0.2727101431504398
AdVenture Capitalist,1,0.26264000837459656
Adeptus Titanicus: Dominus,2,0.28248381055551974
Aegis Defenders,2,0.1732297131016189
Age of Empires® III (2007),0,0.09009690756912404
Age of Rivals,2,0.519016419114221
Aimlabs,10,0.06437099366532754
Alan Wake,0,0.14772916577976528
American Fugitive,0,0.11234277891542777
Aperture Desk Job,0,0.0
Apex Legends™,5,0.27684778385762826
Apotheon,3,0.09349477497536714
Arma 3,1,0.2511903617976111
Armello,2,0.35511486719882035
Assassin's Creed 2,2,0.18659585028768064
Assassin's Creed Freedom Cry,0,0.21909945533240005
Assassin's Creed® Odyssey,2,0.27281188336021
Assassin's Creed® Unity,2,0.28891764898226674
Assassin’s Creed® Brotherhood,1,0.17580020358085896
Assassin’s Creed® Rogue,0,0.3219747639377589
Atlas Reactor,0,0.08176804146599936
Atom Zombie Smasher,9,0.20296405490336678
Atomic Heart,0,0.24343324673821626
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2,0.22956582466663117
Bastion,0,0.1960954219029632
Batman - The Telltale Series,2,0.25482351617976745
Batman: Arkham Asylum Game of the Year Edition,0,0.18153394393885652
Batman: Arkham City - Game of the Year Edition,0,0.24476280133690695
Battlefield 4™,1,0.20291982381159646
Battlefield: Bad Company™ 2,0,0.1891261735152111
Battlefield™ 1,0,0.21503402233589486
Battlefield™ 2042,1,0.3679786747969061
BeamNG.drive,2,0.32830639980837956
Bio Inc. Redemption,0,0.0
BioShock® 2,0,0.32336240205036126
BioShock™,1,0.23060440561993326
BioShock™ 2 Remastered,0,0.3804007115695937
BioShock™ Remastered,0,0.35694674512074365
Black Mesa,0,0.16489672286585041
Black Myth: Wukong,4,0.17324652584491967
Black Squad,5,0.08428263461046563
Blackguards,2,0.10483277909061799
Blackwell Unbound,6,0.20883232933525311
BlazBlue: Chronophantasma Extend,6,0.23773923857522397
Blood and Bacon,1,0.18340938198281057
BloodRayne: Terminal Cut,1,0.20034361324540728
Borderlands 2,0,0.21319061445640497
Borderlands: The Pre-Sequel,6,0.07734781234369073
Brigador: Up-Armored Edition,1,0.23436680021217585
Bright Memory,1,0.10658510262542636
Broforce,0,0.13378509294631244
Broken Sword 2 - the Smoking Mirror: Remastered (2010),1,0.2157404585771243
Brothers in Arms: Road to Hill 30™,0,0.16335959298265734
Brutal Legend,0,0.1618550349237459
Buckshot Roulette,1,0.3432671866164615
CODE VEIN,1,0.35642941147429136
Call of Cthulhu®,0,0.03251113493807399
Call of Duty®,1,0.2046909505202255
