game,Top_Clusters,Top_Topic_Labels
7 Days to Die,"[42, 16, 17]","['Military-themed remakes with mixed mechanics', 'Crime and satire themed games', 'Strongly recommended ARPGs or popular game mechanics']"
A Short Hike,"[2, 14, 23]","['Non-English reviews (Multilingual content)', 'Harsh critique of difficulty or dark themes', 'Tactical turn-based crime or war games']"
A Way Out,"[43, 62, 65]","['Masterpiece games by visionary creators (e.g. Hideo Kojima)', 'Mythology-inspired story-based games', 'Sci-fi battle or containment-themed PvP games']"
ASTRONEER,"[36, 92]",['Multiplayer instability and EA-related frustrations']
AdVenture Capitalist,"[15, 63, 66]","['Slow-paced narrative games or roguelike indie titles', 'Story-driven mysteries or cinematic adventure games', 'Episodic or detective-action games with lacking polish']"
Adeptus Titanicus: Dominus,[74],[]
Aegis Defenders,[39],['Poor content value and repeated criticism of Bethesda']
Age of Empires® III (2007),[72],[]
Age of Rivals,"[7, 12, 39]","['Hype for expansions and intense fan reactions', 'Frustration with basic mechanics and control', 'Poor content value and repeated criticism of Bethesda']"
Aimlabs,"[59, 84, 98]",['Classic-style horror games with strong fan praise']
Alan Wake,"[11, 16, 23]","['Indie games with artistic or emotional tones', 'Crime and satire themed games', 'Tactical turn-based crime or war games']"
American Fugitive,"[22, 40]","['Relaxing and unique games praised by players', 'Console version issues and management decisions']"
Aperture Desk Job,"[28, 61]","['Tactical shooter games with base/resource management', 'Adventure games with investigative or snowy themes']"
Apex Legends™,"[13, 15, 17]","['Sci-fi or space-themed character-driven games', 'Slow-paced narrative games or roguelike indie titles', 'Strongly recommended ARPGs or popular game mechanics']"
Apotheon,[34],['Technical issues and game optimization complaints']
Arma 3,"[15, 8, 10]","['Slow-paced narrative games or roguelike indie titles', 'Disappointment with popular titles or sports games', 'Criticism of abandoned or poorly supported games']"
Armello,"[4, 11, 64]","['Negative reviews and criticism', 'Indie games with artistic or emotional tones', 'Western-themed or poorly paced narrative games']"
Assassin's Creed 2,"[0, 3, 6]","['Story-driven action games with iconic characters', 'Mixed gameplay experience with confusing mechanics', 'Mixed genre games with exaggerated style or content']"
Assassin's Creed Freedom Cry,[3],['Mixed gameplay experience with confusing mechanics']
Assassin's Creed® Odyssey,"[6, 74, 85]",['Mixed genre games with exaggerated style or content']
Assassin's Creed® Unity,"[4, 63, 80]","['Negative reviews and criticism', 'Story-driven mysteries or cinematic adventure games']"
Assassin’s Creed® Brotherhood,[6],['Mixed genre games with exaggerated style or content']
Assassin’s Creed® Rogue,"[0, 3, 23]","['Story-driven action games with iconic characters', 'Mixed gameplay experience with confusing mechanics', 'Tactical turn-based crime or war games']"
Atlas Reactor,[39],['Poor content value and repeated criticism of Bethesda']
Atom Zombie Smasher,[62],['Mythology-inspired story-based games']
Atomic Heart,[86],[]
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,[4],['Negative reviews and criticism']
Bastion,"[1, 19, 29]","['Stealth or single-player action games', 'Boss fights and quirky or controversial moments', 'Modding communities and sandbox experimentation']"
Batman - The Telltale Series,"[8, 15, 24]","['Disappointment with popular titles or sports games', 'Slow-paced narrative games or roguelike indie titles', 'Online multiplayer chaos and social platform integration']"
Batman: Arkham Asylum Game of the Year Edition,"[0, 8, 10]","['Story-driven action games with iconic characters', 'Disappointment with popular titles or sports games', 'Criticism of abandoned or poorly supported games']"
Batman: Arkham City - Game of the Year Edition,"[0, 25, 27]","['Story-driven action games with iconic characters', 'Buggy or rushed games with broken mechanics', 'Deck-building and strategy card games']"
Battlefield 4™,"[0, 23, 27]","['Story-driven action games with iconic characters', 'Tactical turn-based crime or war games', 'Deck-building and strategy card games']"
Battlefield: Bad Company™ 2,"[9, 40, 77]","['Low-value free content and monetization critique', 'Console version issues and management decisions']"
Battlefield™ 1,"[14, 47, 53]","['Harsh critique of difficulty or dark themes', 'Historically-inspired narrative or adventure games', 'Action-packed arcade or PvP games with chaotic gameplay']"
Battlefield™ 2042,"[7, 9, 22]","['Hype for expansions and intense fan reactions', 'Low-value free content and monetization critique', 'Relaxing and unique games praised by players']"
BeamNG.drive,"[13, 19, 22]","['Sci-fi or space-themed character-driven games', 'Boss fights and quirky or controversial moments', 'Relaxing and unique games praised by players']"
Bio Inc. Redemption,[10],['Criticism of abandoned or poorly supported games']
BioShock® 2,"[8, 90]",['Disappointment with popular titles or sports games']
BioShock™,"[8, 81, 96]",['Disappointment with popular titles or sports games']
BioShock™ 2 Remastered,"[10, 91, 93]",['Criticism of abandoned or poorly supported games']
BioShock™ Remastered,"[1, 36, 58]","['Stealth or single-player action games', 'Multiplayer instability and EA-related frustrations', 'Emotional story arcs and character transformation']"
Black Mesa,"[75, 37, 60]","['Frequent updates with questionable balance or changes', 'Sci-fi puzzle games with philosophical undertones']"
Black Myth: Wukong,"[37, 90]",['Frequent updates with questionable balance or changes']
Black Squad,"[10, 79]",['Criticism of abandoned or poorly supported games']
Blackguards,[86],[]
Blackwell Unbound,[24],['Online multiplayer chaos and social platform integration']
BlazBlue: Chronophantasma Extend,[26],['Creative shooter games with mixed reception']
Blood and Bacon,"[59, 8, 95]","['Classic-style horror games with strong fan praise', 'Disappointment with popular titles or sports games']"
BloodRayne: Terminal Cut,[51],"['Timed updates and DLC management issues (e.g., Assassin’s Creed)']"
Borderlands 2,"[10, 23, 58]","['Criticism of abandoned or poorly supported games', 'Tactical turn-based crime or war games', 'Emotional story arcs and character transformation']"
Borderlands: The Pre-Sequel,"[13, 85]",['Sci-fi or space-themed character-driven games']
Brigador: Up-Armored Edition,"[22, 72, 76]",['Relaxing and unique games praised by players']
Bright Memory,"[9, 41]","['Low-value free content and monetization critique', 'Police/crime/zombie series with repetitive gameplay']"
Broken Sword 2 - the Smoking Mirror: Remastered (2010),"[74, 81]",[]
Brutal Legend,"[48, 65]","['Vampire or assassin-themed games with dramatic tone', 'Sci-fi battle or containment-themed PvP games']"
Buckshot Roulette,"[2, 10, 22]","['Non-English reviews (Multilingual content)', 'Criticism of abandoned or poorly supported games', 'Relaxing and unique games praised by players']"
CODE VEIN,"[4, 67]","['Negative reviews and criticism', 'Surreal or unpredictable indie experiments']"
Call of Cthulhu®,[92],[]
Call of Duty®,"[60, 8, 15]","['Sci-fi puzzle games with philosophical undertones', 'Disappointment with popular titles or sports games', 'Slow-paced narrative games or roguelike indie titles']"
Call of Duty®: Black Ops,"[10, 19, 24]","['Criticism of abandoned or poorly supported games', 'Boss fights and quirky or controversial moments', 'Online multiplayer chaos and social platform integration']"
Call of Duty®: Modern Warfare® 2 (2009),"[8, 10, 11]","['Disappointment with popular titles or sports games', 'Criticism of abandoned or poorly supported games', 'Indie games with artistic or emotional tones']"
Call of Duty®: WWII,"[75, 76]",[]
Call of Juarez: Bound in Blood,"[56, 64, 87]","['Thoughtful single-player puzzle or logic games', 'Western-themed or poorly paced narrative games']"
Call of Juarez: Gunslinger,"[11, 12, 40]","['Indie games with artistic or emotional tones', 'Frustration with basic mechanics and control', 'Console version issues and management decisions']"
Call to Arms,"[28, 67, 80]","['Tactical shooter games with base/resource management', 'Surreal or unpredictable indie experiments']"
Cardboard Town,"[18, 92]",['Fun casual games with unexpected mechanics']
Celeste,"[8, 51]","['Disappointment with popular titles or sports games', 'Timed updates and DLC management issues (e.g., Assassin’s Creed)']"
Chained Together,[41],['Police/crime/zombie series with repetitive gameplay']
Charlie Murder,[57],"['Games with rich backstories and moral themes (e.g., MGS-style)']"
Chicory: A Colorful Tale,[59],['Classic-style horror games with strong fan praise']
Children of Morta,"[62, 66, 77]","['Mythology-inspired story-based games', 'Episodic or detective-action games with lacking polish']"
Circadian Dice,[12],['Frustration with basic mechanics and control']
Cities: Skylines,"[22, 45, 10]","['Relaxing and unique games praised by players', 'Stylized browser/mod games with casual mechanics', 'Criticism of abandoned or poorly supported games']"
Colin McRae Rally,[69],['Episodic war or alternate-history narratives']
Company of Heroes 2,"[15, 50, 53]","['Slow-paced narrative games or roguelike indie titles', 'Stylized horror games by known indie studios (e.g., Klei)', 'Action-packed arcade or PvP games with chaotic gameplay']"
Company of Heroes: Tales of Valor,"[11, 62]","['Indie games with artistic or emotional tones', 'Mythology-inspired story-based games']"
Conan Exiles,"[50, 53, 83]","['Stylized horror games by known indie studios (e.g., Klei)', 'Action-packed arcade or PvP games with chaotic gameplay']"
Conqueror's Blade,[8],['Disappointment with popular titles or sports games']
Content Warning,"[32, 54, 82]","['Platformers with customization and streamer influence', 'Puzzle-platformers or runner games']"
Control Ultimate Edition,"[82, 5, 6]","['Underrated narrative games with emotional elements', 'Mixed genre games with exaggerated style or content']"
Convoy,[15],['Slow-paced narrative games or roguelike indie titles']
Coral Island,[95],[]
Counter-Strike 2,"[17, 27, 42]","['Strongly recommended ARPGs or popular game mechanics', 'Deck-building and strategy card games', 'Military-themed remakes with mixed mechanics']"
Counter-Strike: Source,"[52, 0, 10]","['Frustrating space adventure games', 'Story-driven action games with iconic characters', 'Criticism of abandoned or poorly supported games']"
Crawl,[72],[]
Cruelty Squad,"[14, 19, 23]","['Harsh critique of difficulty or dark themes', 'Boss fights and quirky or controversial moments', 'Tactical turn-based crime or war games']"
Crying Suns,[76],[]
Crysis 2 Remastered,[10],['Criticism of abandoned or poorly supported games']
Crysis 3 Remastered,"[47, 96]",['Historically-inspired narrative or adventure games']
Crysis Remastered,"[8, 54]","['Disappointment with popular titles or sports games', 'Puzzle-platformers or runner games']"
Cult of the Lamb,[7],['Hype for expansions and intense fan reactions']
Cyberpunk 2077,"[10, 13, 62]","['Criticism of abandoned or poorly supported games', 'Sci-fi or space-themed character-driven games', 'Mythology-inspired story-based games']"
D&D Lords of Waterdeep,"[74, 82, 89]",[]
DARK SOULS™ II: Scholar of the First Sin,"[23, 2, 5]","['Tactical turn-based crime or war games', 'Non-English reviews (Multilingual content)', 'Underrated narrative games with emotional elements']"
DARK SOULS™ III,"[1, 2, 11]","['Stealth or single-player action games', 'Non-English reviews (Multilingual content)', 'Indie games with artistic or emotional tones']"
DEATHLOOP,"[1, 4, 41]","['Stealth or single-player action games', 'Negative reviews and criticism', 'Police/crime/zombie series with repetitive gameplay']"
DESOLATE,"[4, 90]",['Negative reviews and criticism']
DOOM,"[1, 56, 8]","['Stealth or single-player action games', 'Thoughtful single-player puzzle or logic games', 'Disappointment with popular titles or sports games']"
DOOM 3,"[57, 59, 61]","['Games with rich backstories and moral themes (e.g., MGS-style)', 'Classic-style horror games with strong fan praise', 'Adventure games with investigative or snowy themes']"
DOOM Eternal,"[60, 22, 49]","['Sci-fi puzzle games with philosophical undertones', 'Relaxing and unique games praised by players', 'Primitive or philosophical indie games']"
DPS IDLE,[6],['Mixed genre games with exaggerated style or content']
Dagon: by H. P. Lovecraft,"[4, 9, 70]","['Negative reviews and criticism', 'Low-value free content and monetization critique']"
Dark Messiah of Might & Magic,"[71, 94, 96]",[]
Darksiders Warmastered Edition,"[4, 19, 62]","['Negative reviews and criticism', 'Boss fights and quirky or controversial moments', 'Mythology-inspired story-based games']"
Day of Defeat,[63],['Story-driven mysteries or cinematic adventure games']
Days Gone,"[4, 8, 15]","['Negative reviews and criticism', 'Disappointment with popular titles or sports games', 'Slow-paced narrative games or roguelike indie titles']"
Dead Cells,"[7, 34, 39]","['Hype for expansions and intense fan reactions', 'Technical issues and game optimization complaints', 'Poor content value and repeated criticism of Bethesda']"
Dead Island: Epidemic,[62],['Mythology-inspired story-based games']
Dead Rising 2: Off the Record,"[1, 85]",['Stealth or single-player action games']
Dead Rising 3 Apocalypse Edition,"[98, 0, 23]","['Story-driven action games with iconic characters', 'Tactical turn-based crime or war games']"
Dead Rising 4,"[65, 9, 45]","['Sci-fi battle or containment-themed PvP games', 'Low-value free content and monetization critique', 'Stylized browser/mod games with casual mechanics']"
Dead by Daylight,"[0, 17, 24]","['Story-driven action games with iconic characters', 'Strongly recommended ARPGs or popular game mechanics', 'Online multiplayer chaos and social platform integration']"
Deathstate: Abyssal Edition,[39],['Poor content value and repeated criticism of Bethesda']
Depression Quest,"[74, 95]",[]
Desktop Dungeons,[87],[]
Destination Primus Vita - Ep. 1,[94],[]
Destiny 2,"[8, 0, 23]","['Disappointment with popular titles or sports games', 'Story-driven action games with iconic characters', 'Tactical turn-based crime or war games']"
Deus Ex: Game of the Year Edition,"[2, 21, 26]","['Non-English reviews (Multilingual content)', 'Strategy or RPG games with rich lore', 'Creative shooter games with mixed reception']"
Devil May Cry 5,"[5, 6, 8]","['Underrated narrative games with emotional elements', 'Mixed genre games with exaggerated style or content', 'Disappointment with popular titles or sports games']"
DiRT 4,"[21, 28]","['Strategy or RPG games with rich lore', 'Tactical shooter games with base/resource management']"
DiRT Rally,"[62, 93]",['Mythology-inspired story-based games']
Die in the Dungeon: Origins,[51],"['Timed updates and DLC management issues (e.g., Assassin’s Creed)']"
Dinkum,[53],['Action-packed arcade or PvP games with chaotic gameplay']
Dino D-Day,[59],['Classic-style horror games with strong fan praise']
Dirty Bomb®,[53],['Action-packed arcade or PvP games with chaotic gameplay']
Dishonored®: Death of the Outsider™,"[8, 53, 70]","['Disappointment with popular titles or sports games', 'Action-packed arcade or PvP games with chaotic gameplay']"
Divinity II: Developer's Cut,[62],['Mythology-inspired story-based games']
Divinity: Original Sin - Enhanced Edition,[93],[]
Do Not Feed the Monkeys,[72],[]
Doki Doki Literature Club!,"[1, 48, 59]","['Stealth or single-player action games', 'Vampire or assassin-themed games with dramatic tone', 'Classic-style horror games with strong fan praise']"
Door Kickers 2: Task Force North,[8],['Disappointment with popular titles or sports games']
Dorfromantik,"[11, 21, 53]","['Indie games with artistic or emotional tones', 'Strategy or RPG games with rich lore', 'Action-packed arcade or PvP games with chaotic gameplay']"
Dragon's Dogma: Dark Arisen,"[4, 34, 82]","['Negative reviews and criticism', 'Technical issues and game optimization complaints']"
Dungeon of the ENDLESS™,"[11, 39, 52]","['Indie games with artistic or emotional tones', 'Poor content value and repeated criticism of Bethesda', 'Frustrating space adventure games']"
Dwarf Fortress,[92],[]
Dying Light 2 Stay Human: Reloaded Edition,"[15, 17, 65]","['Slow-paced narrative games or roguelike indie titles', 'Strongly recommended ARPGs or popular game mechanics', 'Sci-fi battle or containment-themed PvP games']"
Dyson Sphere Program,[8],['Disappointment with popular titles or sports games']
ENDLESS™ Legend,"[62, 19, 41]","['Mythology-inspired story-based games', 'Boss fights and quirky or controversial moments', 'Police/crime/zombie series with repetitive gameplay']"
Eco,[19],['Boss fights and quirky or controversial moments']
Empyrion - Galactic Survival,[1],['Stealth or single-player action games']
Endzone - A World Apart,"[39, 63]","['Poor content value and repeated criticism of Bethesda', 'Story-driven mysteries or cinematic adventure games']"
Entropy : Zero 2,"[42, 53, 61]","['Military-themed remakes with mixed mechanics', 'Action-packed arcade or PvP games with chaotic gameplay', 'Adventure games with investigative or snowy themes']"
