game,genre,review
L.A. Noire,"Adventure, Strategy",I like to push npcs into cars so they die
L.A. Noire,"Adventure, Strategy",damn solving a case is very satisfying
L.A. Noire,"Adventure, Strategy",Play it like detective TV series. 1 case per day.
L.A. Noire,"Adventure, Strategy","some cases are really easy af but some cases are harder than beating the final boss of all dark souls series lol But regarding of all those things, This game is generally a great work. You have so much potential about various mechanics  that you can't even think about in it."
L.A. Noire,"Adventure, Strategy","Playing as the police, the other side of the GTA coin, having to deal with the mess that you maniacs left behind. You know what you did... I've been drooling over all the Rockstar games on Steam, and every time I look at the comment section, see people complaining about the Social Club feature. This has completely put me off all of their titles, as someone with limited internet access, and a disdain for filling in forms, I mainly play offline. I bought this a while ago on sale and got this game downloaded on my crawling internet, so this was a good test I thought, to see if their games can function offline. I started up L.A. Noire, and it asked me to create a Social Club account, and on the right hand side of that menu, in smaller print, to create a local profile. I went with that option, to create a local profile and it asked me to type a name, and that was it. I could play offline, no need for Social Club. And could play it completely offline any other day. Test passed, on to the game itself. This game features heavily on the character interactions and communication, the likes I have not experienced before. I've never been one to care for things like lip synch techniques, and in-case someone wants to see a good case study of how it should be done, this is it. Not only lip synchronization, but facial features with animations as well for that matter are very life-like, even though the models are slightly dated. The character narratives are not only shown in a cut-scene style, but also while you are investigating, giving your actions and the npcs reactions a lifelike give and take. And speaking of the facial animations, in other games it's done purely for technical achievement, or art for style points. Here it's literally a feature, you have to read the persons' body language that you are interrogating by looking at their behaviour, and their facial expressions. They really are life-like and you can see their personality in those sometimes very subtle facial animations alone. It's remarkable. The world is flat. Some claim that the world is round. This one definitely is not. We're probably used to a lot better open world city type scenery by now, but this has a lot of small attention to details, and the world is densely created with professional art while it does have a overall, what I would call a clinical cleanliness feel to it. Or best described as the look of a simulator of sorts, instead of trying to beautify everything. It's running good in 4k on my humble PC, and it's all a very pleasant experience. Plenty of old fashioned cars beautifully created, and plays responsive enough to enjoy driving places. While the world itself is a bit lacking in colour, they are not afraid to use colourful language and red pixels when the bullets starts flying. For being on the right side of the law they give you plenty of slack to not restrict your fun in playing and throw enough bad guys with a death wish at you to balance the detective work with action. It's a neat game."
L.A. Noire,"Adventure, Strategy",HIGS REPRESENT
L.A. Noire,"Adventure, Strategy","Long time ago, PC gamers killed the Mother of Rockstar's CEO. Since then that CEO torturing PC gamers with ♥♥♥♥♥♥ ports, crappy framerates and dumbass DRM"
L.A. Noire,"Adventure, Strategy",Very good game 12/10
L.A. Noire,"Adventure, Strategy","The movie L.A Confidential, except it's a game. Best played in Black and White for maximum atmosphere. Rockstar again showing they are the only western dev who can deliver a truly gritty crime game. L.A Noire absolutely smashed Mafia 2 back in 2011 as the best Noir game that year. Great game, average port. Really bad draw distance and pop in. Shadows look rough even on highest settings. Controller supported but non re-bindable. It does seem to run well, although sometimes hard crashes when you quit the game. It's an action adventure that's light on the action part, heavy on the adventure. Most of the shootouts and gunplay occur in side missions. This isn't GTA in the 40s. The world is only semi open and you can't pull your gun out when not in a fight. That being said, the shooting and driving feel like a more refined GTA IV. It's the kind of game David Cage would make if he made actual games that had real gameplay. Most of the game is based around collecting clues and dialogue options. If you don't like that kind of game, you won't like this. Follow 1940's Police Officer Cole Phelps as he rises through the ranks of the LAPD. First as a patrolman, then as a detective. Progress through four detective desks: Traffic, Homicide, Vice and finally Arson. Bring down perverted movie producers, find the truth behind the Black Dahlia Murderer and uncover a sinister conspiracy involving returned servicemen, real estate developers, the Kosher Mob, pop-psychologists and even the LAPD."
L.A. Noire,"Adventure, Strategy","amazing game, it's a nice change to be on the police side for once after all the mayhem we caused in years of gaming :D after finishing the game I can also say that this was one of the best, longest and storywise most interesting games I've ever played, I think it filled the void left after Mafia. I genuinely felt sad to finish the game"
