Cluster,Top_Keywords
0,"['gameplay', 'story', 'fun', 'play', 'game', 'good', 'like', 'one', 'really', 'great']"
1,"['content', 'play', 'like', 'game', 'even', 'get', 'make', 'really', 'would', 'one']"
2,"['card', 'play', 'character', 'feel', 'game', 'even', 'like', 'get', 'make', 'one']"
3,"['pew', 'laugh', 'aye', 'boom', 'hot', 'yeah', 'ass', 'man', 'go', 'yes']"
4,"['fun', 'friend', 'relax', 'game', 'great', 'long', 'good', 'ever', 'awesome', 'excellent']"
5,"['crash', 'pc', 'issue', 'frame', 'game', 'per', 'bad', 'fix', 'second', 'get']"
6,"['efootball', 'buy', 'dollar', 'play', 'pe', 'sale', 'money', 'game', 'imersive', 'get']"
7,"['scare', 'survival', 'murder', 'horror', 'game', 'kill', 'accidentally', 'scary', 'creepy', 'shoot']"
8,"['bir', 'nicht', 'des', 'oyun', 'vous', 'le', 'jeu', 'en', 'den', 'de']"
9,"['hour', 'nuff', 'end', 'fun', 'total', 'start', 'game', 'time', 'damn', 'much']"
10,"['harambae', 'surgeryd', 'old', 'gaem', 'alive', 'yes', 'back', 'classic', 'still', 'age']"
