Game,Dominant_Topic,Similarity_Score
7 Days to Die,16,0.7787790022381051
A Short Hike,5,0.7080929276707133
A Way Out,21,0.7279777610539158
ASTRONEER,7,0.7093430413441434
AdVenture Capitalist,1,0.5565310335091769
Adeptus Titanicus: Dominus,-1,0.6535894580934063
Aegis Defenders,14,0.6022968700151154
Age of Empires® III (2007),-1,0.531775614099668
Age of Rivals,2,0.7183040255668235
Aimlabs,9,0.6065584451348339
Alan Wake,-1,0.39594075114600247
American Fugitive,-1,0.4854841211305177
Aperture Desk Job,4,0.2985430188099088
Apex Legends™,-1,0.599883101049218
Apotheon,-1,0.2541942578208678
Arma 3,0,0.5781333797159758
Armello,5,0.7524841354443969
Assassin's Creed 2,5,0.6903717581703146
Assassin's Creed Freedom Cry,5,0.7592936478568593
Assassin's Creed® Odyssey,6,0.6633420230684653
Assassin's Creed® Unity,5,0.7965633800263029
Assassin’s Creed® Brotherhood,1,0.5121425440273585
Assassin’s Creed® Rogue,5,0.7397612062247969
Atlas Reactor,9,0.5233784445704739
Atom Zombie Smasher,-1,0.6697059756748194
Atomic Heart,17,0.7372022605801231
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,5,0.6493827388457856
Bastion,14,0.7268808486147205
Batman - The Telltale Series,18,0.6776410832834475
Batman: Arkham Asylum Game of the Year Edition,21,0.6708393722753282
Batman: Arkham City - Game of the Year Edition,1,0.620611031675255
Battlefield 4™,9,0.7532756461324852
Battlefield: Bad Company™ 2,10,0.6723215253839847
Battlefield™ 1,-1,0.6359979428565224
Battlefield™ 2042,0,0.6400340707628397
BeamNG.drive,11,0.6566378536016394
Bio Inc. Redemption,25,0.6433286009538077
BioShock® 2,17,0.6983084575514802
BioShock™,1,0.7209533429910338
BioShock™ 2 Remastered,17,0.7603764827681936
BioShock™ Remastered,17,0.6671689366951433
Black Mesa,14,0.657916373057904
Black Myth: Wukong,4,0.6706290938222361
Black Squad,2,0.31949659335041497
Blackguards,0,0.6678668136173807
Blackwell Unbound,-1,0.5701704534597768
BlazBlue: Chronophantasma Extend,12,0.7418696929009919
Blood and Bacon,12,0.5223820133679439
BloodRayne: Terminal Cut,10,0.7030556724800178
Borderlands 2,9,0.5499012490110039
