Steam ID,Total_Games,Total_Achievements,Top_3_Topics,Dominant_Genre_Code
76561197960269409,9,130,"[3.0, 43.0, 59.0]",2
76561197977935089,10,72,"[1.0, 61.0, 23.0]",1
76561197983588742,10,155,"[1.0, 2.0, 47.0]",1
76561197986997483,7,87,"[3.0, 21.0, 1.0]",2
76561197998383791,7,43,"[1.0, 23.0, 41.0]",1
76561198004559773,7,101,"[1.0, 61.0, 43.0]",1
76561198006756264,11,143,"[1.0, 21.0, 72.0]",2
76561198011778207,9,68,"[21.0, 2.0, 1.0]",1
76561198012450682,7,73,"[23.0, 73.0, 4.0]",6
76561198037222425,8,49,"[22.0, 21.0, 2.0]",6
76561198037246903,13,481,"[1.0, 21.0, 23.0]",1
76561198042114922,7,79,"[23.0, 1.0, 43.0]",1
76561198046731438,7,62,"[2.0, 1.0, 0.0]",1
76561198061669144,7,24,"[21.0, 1.0, 3.0]",6
76561198064055378,10,84,"[1.0, 2.0, 59.0]",1
76561198064800033,9,473,"[21.0, 1.0, 59.0]",1
76561198068123705,9,45,"[1.0, 2.0, 11.0]",2
76561198088342032,7,118,"[1.0, 24.0, 13.0]",1
76561198147075448,9,103,"[1.0, 21.0, 12.0]",1
76561198151246013,8,157,"[1.0, 43.0, 21.0]",1
76561198192893105,10,36,"[1.0, 3.0, 12.0]",12
76561198201248007,7,41,"[1.0, 43.0, 23.0]",1
76561198354879869,10,84,"[1.0, 2.0, 60.0]",1
76561198379680951,10,165,"[1.0, 59.0, 50.0]",1
76561198380925613,9,108,"[1.0, 23.0, 0.0]",1
76561198397520727,12,69,"[1.0, 32.0, 21.0]",1
76561198796747013,7,37,"[1.0, 22.0, 61.0]",1
76561198885069362,9,296,"[1.0, 21.0, 59.0]",1
76561199027285610,8,101,"[1.0, 59.0, 2.0]",1
76561199131606199,8,247,"[21.0, 60.0, 14.0]",1
