Cluster,Top_Keywords
0,"['deckbuilder', 'spire', 'deck', 'build', 'turn', 'card', 'slay', 'play', 'mechanic', 'fun']"
1,"['cap', 'enemy', 'character', 'like', 'game', 'feel', 'time', 'get', 'make', 'one']"
2,"['favorite', 'game', 'fantastic', 'ever', 'one', 'good', 'great', 'amazing', 'awesome', 'cool']"
3,"['portal', 'recommend', 'solve', 'game', 'hard', 'bit', 'short', 'puzzle', 'like', 'really']"
4,"['downloadable', 'buy', 'season', 'free', 'content', 'pass', 'price', 'new', 'worth', 'offer']"
5,"['soundtrack', 'recommend', 'play', 'listen', 'music', 'song', 'great', 'sound', 'amazing', 'good']"
6,"['menu', 'controller', 'mouse', 'button', 'interface', 'tutorial', 'terrible', 'keyboard', 'ui', 'control']"
7,"['goty', 'hella', 'bro', 'good', 'yes', 'cool', 'amazing', 'pretty', 'yup', 'ok']"
8,"['ghost', 'scare', 'spooky', 'jumpscare', 'horror', 'scary', 'psychological', 'experience', 'creepy', 'good']"
9,"['building', 'train', 'management', 'builder', 'city', 'tech', 'build', 'base', 'get', 'fun']"
10,"['sale', 'buck', 'dollar', 'bench', 'buy', 'quid', 'worth', 'pay', 'price', 'money']"
11,"['monki', 'honk', 'kil', 'hehehe', 'monke', 'gud', 'kiryu', 'hej', 'oh', 'hehe']"
12,"['review', 'positive', 'write', 'game', 'give', 'far', 'bad', 'negative', 'see', 'go']"
13,"['bir', 'si', 'han', 'oyun', 'affe', 'var', 'og', 'iyi', 'en', 'bu']"
14,"['confusing', 'short', 'fun', 'stupid', 'friend', 'simple', 'extremally', 'super', 'havin', 'really']"
15,"['kill', 'rod', 'crime', 'life', 'war', 'commit', 'die', 'live', 'people', 'shoot']"
16,"['ending', 'storyline', 'episode', 'gameplay', 'great', 'story', 'really', 'amazing', 'good', 'awesome']"
17,"['dialogue', 'narrator', 'voice', 'instruction', 'act', 'bit', 'movie', 'press', 'story', 'pretty']"
18,"['vsync', 'crash', 'screen', 'boot', 'cd', 'desktop', 'loading', 'save', 'file', 'fix']"
19,"['roguelikelite', 'minesweeper', 'roguelite', 'roguelike', 'rogue', 'unique', 'action', 'fun', 'great', 'excellent']"
20,"['remastere', 'nostalgia', 'remake', 'remaster', 'modern', 'original', 'fix', 'definitely', 'old', 'release']"
21,"['combat', 'look', 'level', 'find', 'like', 'pretty', 'game', 'way', 'really', 'one']"
22,"['persia', 'pixel', 'art', 'arctic', 'beautiful', 'style', 'fun', 'love', 'nice', 'good']"
23,"['friendship', 'play', 'minute', 'waste', 'game', 'hour', 'friend', 'ever', 'time', 'nearly']"
24,"['couch', 'coop', 'sack', 'awesome', 'solo', 'local', 'fun', 'partner', 'experience', 'great']"
25,"['cheeseburger', 'poopy', 'taco', 'bun', 'bob', 'stinky', 'eat', 'cake', 'gi', 'cheese']"
26,"['bundle', 'robe', 'buyable', 'cosmetic', 'free', 'frontier', 'pack', 'challenge', 'skin', 'buy']"
27,"['refund', 'developer', 'abandon', 'epic', 'buy', 'release', 'devs', 'access', 'support', 'early']"
28,"['headset', 'vr', 'hvr', 'quality', 'alyx', 'flight', 'set', 'experience', 'great', 'well']"
29,"['challenge', 'civilization', 'strategy', 'mechanic', 'difficulty', 'unique', 'enjoy', 'still', 'great', 'glorious']"
30,"['vampire', 'survivor', 'unlock', 'baddie', 'shrine', 'masquerade', 'genre', 'twist', 'fun', 'run']"
31,"['novel', 'knight', 'scene', 'relationship', 'season', 'writing', 'character', 'story', 'like', 'write']"
32,"['port', 'xbox', 'console', 'boardgame', 'digital', 'dire', 'pc', 'mobile', 'ps', 'excellent']"
33,"['cutscene', 'payne', 'soundtrack', 'bullet', 'third', 'gameplay', 'max', 'man', 'story', 'one']"
34,"['shooter', 'looter', 'multiplayer', 'third', 'tactical', 'shooting', 'person', 'shoot', 'shot', 'first']"
35,"['zombies', 'dayz', 'infestation', 'pew', 'zombie', 'juego', 'aftermath', 'opinion', 'good', 'mi']"
36,"['steamdeck', 'steampunk', 'battery', 'play', 'deck', 'mirror', 'papa', 'steam', 'also', 'run']"
37,"['crash', 'glitchy', 'screen', 'bash', 'buggy', 'unplayable', 'mess', 'fun', 'load', 'bug']"
38,"['jogo', 'uma', 'que', 'mas', 'por', 'com', 'em', 'para', 'de', 'um']"
39,"['gta', 'chinatown', 'andreas', 'storyline', 'vice', 'gtav', 'san', 'slum', 'series', 'people']"
40,"['addict', 'snowrunner', 'board', 'btec', 'addicted', 'oki', 'addictive', 'dangerously', 'questalike', 'fun']"
41,"['microwave', 'paint', 'underpriced', 'ms', 'monthsyear', 'average', 'hour', 'beautiful', 'price', 'story']"
42,"['beautifuluniquefunrelaxing', 'release', 'ithope', 'rough', 'excited', 'update', 'wait', 'year', 'recent', 'new']"
43,"['fallout', 'skyrim', 'rpg', 'bethesda', 'vanilla', 'mod', 'vegas', 'rpgs', 'game', 'good']"
44,"['pit', 'frame', 'poo', 'outdated', 'graphic', 'invisible', 'cheesy', 'second', 'per', 'even']"
45,"['explosion', 'explode', 'smashey', 'boom', 'potion', 'truck', 'light', 'blow', 'go', 'car']"
46,"['manga', 'terrible', 'title', 'awful', 'rubbish', 'embarassingly', 'horrible', 'bad', 'gone', 'meh']"
47,"['audio', 'average', 'repetitive', 'gameplay', 'task', 'bug', 'story', 'long', 'spare', 'good']"
48,"['refund', 'taste', 'refuse', 'fuck', 'horrible', 'cost', 'could', 'money', 'stupid', 'thank']"
49,"['combat', 'indonesian', 'boxer', 'scenariosgfgfggsgfksklslflflsllslfsugghhuhg', 'battle', 'tactical', 'fight', 'fun', 'mwhahahahah', 'spectre']"
50,"['le', 'pas', 'un', 'les', 'vous', 'de', 'et', 'que', 'la', 'jeu']"
51,"['saddam', 'mod', 'garrys', 'download', 'todd', 'goodunlike', 'gerald', 'hussein', 'terrible', 'wilson']"
52,"['fiddle', 'neco', 'trick', 'play', 'blind', 'arc', 'march', 'stop', 'retarded', 'wait']"
53,"['hacker', 'paywall', 'ban', 'rdo', 'hack', 'account', 'fivem', 'dissident', 'server', 'online']"
54,"['refresh', 'join', 'match', 'server', 'online', 'friend', 'dead', 'team', 'minute', 'full']"
55,"['boring', 'bland', 'dull', 'boringass', 'borednothe', 'grindy', 'bore', 'asf', 'elsestop', 'rlly']"
56,"['ezios', 'ezio', 'brotherhood', 'creed', 'desmond', 'assassin', 'ac', 'odyssey', 'since', 'series']"
57,"['ammo', 'dagger', 'prk', 'weapon', 'blasting', 'bend', 'carry', 'brr', 'launcher', 'variety']"
58,"['ramp', 'pinball', 'zen', 'table', 'hit', 'pack', 'mode', 'ball', 'fx', 'one']"
59,"['multiplayer', 'coop', 'magick', 'fun', 'play', 'online', 'game', 'variety', 'friend', 'definitely']"
60,"['halflife', 'teary', 'remake', 'masterpiece', 'community', 'half', 'source', 'original', 'life', 'finally']"
61,"['cod', 'warfare', 'zombie', 'multiplayer', 'mode', 'human', 'campaign', 'war', 'ww', 'good']"
62,"['spider', 'millionaire', 'badnearly', 'kino', 'map', 'qould', 'gentleman', 'riese', 'ridiculous', 'fun']"
63,"['darksouls', 'peak', 'morgott', 'bait', 'lightsource', 'soul', 'rage', 'dark', 'doo', 'wierdly']"
64,"['gem', 'elegant', 'hide', 'relax', 'clear', 'unified', 'underrated', 'appriciation', 'extremely', 'absolute']"
65,"['simulation', 'bolivia', 'simulator', 'citation', 'venezuela', 'serbia', 'stompin', 'senior', 'accurate', 'baron']"
66,"['mccaffrey', 'orphan', 'series', 'crussader', 'homeless', 'threekingdom', 'james', 'pricey', 'antler', 'supreme']"
67,"['batman', 'harvey', 'superhero', 'bruce', 'arkham', 'city', 'wayne', 'case', 'telltale', 'orign']"
68,"['hentai', 'clicker', 'censor', 'anime', 'rhythm', 'shovelware', 'instead', 'wank', 'girl', 'eh']"
69,"['gooooooooooooooooooooooooooooooooooooooooooood', 'goood', 'brrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr', 'baaaaaaaaaaaaaaaaaaaaaaaaa', 'goooooooooooooooooooooooooooooood', 'please', 'goooooooooooooooooooooooood', 'geyyyyyyy', 'ddaaaaaaaaaaa', 'brrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr']"
70,"['sequel', 'releaseexcellent', 'moba', 'nifflas', 'alejandro', 'expand', 'platfomer', 'surmount', 'deplorable', 'sicario']"
71,"['gpu', 'choppy', 'performance', 'nvidia', 'frame', 'cpu', 'ti', 'setting', 'second', 'per']"
72,"['adaptiation', 'gamefeel', 'digital', 'adaptation', 'adaptaton', 'implementation', 'akane', 'poor', 'excellent', 'good']"
73,"['quest', 'dungeon', 'gear', 'level', 'corruption', 'monster', 'combat', 'area', 'skill', 'enemy']"
74,"['quest', 'burnout', 'nbak', 'lifespan', 'teir', 'repetitive', 'game', 'bad', 'time', 'every']"
75,"['diablo', 'prayer', 'arpg', 'diablolike', 'entree', 'wolfpack', 'heaven', 'successor', 'yearning', 'nay']"
76,"['finger', 'foreskin', 'handshake', 'twa', 'smooooth', 'eddie', 'hurt', 'thumb', 'hand', 'damke']"
77,"['kojima', 'phantom', 'mgs', 'raiden', 'gear', 'stealth', 'hideo', 'cnc', 'franchise', 'metal']"
78,"['testosterone', 'barbie', 'jalopy', 'video', 'gamer', 'masculine', 'ohio', 'joyce', 'male', 'virginia']"
