Steam ID,Total_Games,Total_Achievements,Dominant_Topic,Dominant_Genre_Code
76561197960269409,9,130,3.0,2
76561197960269409,9,130,43.0,6
76561197960269409,9,130,59.0,8
76561197977935089,10,72,1.0,1
76561197977935089,10,72,61.0,10
76561197977935089,10,72,23.0,12
76561197983588742,10,155,1.0,1
76561197983588742,10,155,2.0,2
76561197983588742,10,155,47.0,6
76561197986997483,7,87,3.0,2
76561197986997483,7,87,21.0,6
76561197986997483,7,87,1.0,3
76561197998383791,7,43,1.0,1
76561197998383791,7,43,23.0,6
76561197998383791,7,43,41.0,2
76561198004559773,7,101,1.0,1
76561198004559773,7,101,61.0,8
76561198004559773,7,101,43.0,2
76561198006756264,11,143,1.0,2
76561198006756264,11,143,21.0,12
76561198006756264,11,143,72.0,8
76561198011778207,9,68,21.0,1
76561198011778207,9,68,2.0,10
76561198011778207,9,68,1.0,6
76561198012450682,7,73,23.0,6
76561198012450682,7,73,73.0,2
76561198012450682,7,73,4.0,8
76561198037222425,8,49,22.0,6
76561198037222425,8,49,21.0,12
76561198037222425,8,49,2.0,8
76561198037246903,13,481,1.0,1
76561198037246903,13,481,21.0,6
76561198037246903,13,481,23.0,12
76561198042114922,7,79,23.0,1
76561198042114922,7,79,1.0,8
76561198042114922,7,79,43.0,2
76561198046731438,7,62,2.0,1
76561198046731438,7,62,1.0,12
76561198046731438,7,62,0.0,6
76561198061669144,7,24,21.0,6
76561198061669144,7,24,1.0,1
76561198061669144,7,24,3.0,8
76561198064055378,10,84,1.0,1
76561198064055378,10,84,2.0,6
76561198064055378,10,84,59.0,10
76561198064800033,9,473,21.0,1
76561198064800033,9,473,1.0,6
76561198064800033,9,473,59.0,2
76561198068123705,9,45,1.0,2
76561198068123705,9,45,2.0,1
76561198068123705,9,45,11.0,6
76561198088342032,7,118,1.0,1
76561198088342032,7,118,24.0,6
76561198088342032,7,118,13.0,2
76561198147075448,9,103,1.0,1
76561198147075448,9,103,21.0,2
76561198147075448,9,103,12.0,10
76561198151246013,8,157,1.0,1
76561198151246013,8,157,43.0,6
76561198151246013,8,157,21.0,8
76561198192893105,10,36,1.0,12
76561198192893105,10,36,3.0,6
76561198192893105,10,36,12.0,8
76561198201248007,7,41,1.0,1
76561198201248007,7,41,43.0,2
76561198201248007,7,41,23.0,6
76561198354879869,10,84,1.0,1
76561198354879869,10,84,2.0,6
76561198354879869,10,84,60.0,2
76561198379680951,10,165,1.0,1
76561198379680951,10,165,59.0,2
76561198379680951,10,165,50.0,6
76561198380925613,9,108,1.0,1
76561198380925613,9,108,23.0,5
76561198380925613,9,108,0.0,10
76561198397520727,12,69,1.0,1
76561198397520727,12,69,32.0,6
76561198397520727,12,69,21.0,8
76561198796747013,7,37,1.0,1
76561198796747013,7,37,22.0,9
76561198796747013,7,37,61.0,10
76561198885069362,9,296,1.0,1
76561198885069362,9,296,21.0,2
76561198885069362,9,296,59.0,10
76561199027285610,8,101,1.0,1
76561199027285610,8,101,59.0,2
76561199027285610,8,101,2.0,8
76561199131606199,8,247,21.0,1
76561199131606199,8,247,60.0,6
76561199131606199,8,247,14.0,3
