Steam ID,Total_Games,Total_Achievements,Dominant_Topic,Dominant_Genre_Code
76561197960269409,9,130,24,2
76561197960269409,9,130,24,1
76561197960269409,9,130,24,8
76561197977935089,10,72,5,1
76561197977935089,10,72,5,10
76561197977935089,10,72,5,6
76561197983588742,10,155,13,1
76561197983588742,10,155,13,5
76561197985705149,5,13,3,2
76561197985705149,5,13,3,8
76561197985705149,5,13,3,1
76561197986997483,7,87,24,2
76561197986997483,7,87,24,6
76561197992783558,6,275,22,1
76561197992783558,6,275,22,3
76561197992783558,6,275,22,6
76561197992939661,6,112,24,12
76561197992939661,6,112,24,3
76561197992939661,6,112,24,5
76561197996907347,4,18,25,1
76561197996907347,4,18,25,2
76561197996907347,4,18,25,6
76561197998383791,7,43,24,1
76561197998383791,7,43,24,2
76561197998383791,7,43,24,6
76561198004559773,7,101,11,1
76561198004559773,7,101,11,8
76561198004559773,7,101,11,6
76561198006756264,11,143,3,1
76561198006756264,11,143,3,2
76561198006756264,11,143,3,12
76561198011778207,9,68,3,1
76561198012450682,7,73,24,2
76561198012450682,7,73,24,6
76561198012450682,7,73,24,3
76561198037222425,6,28,24,1
76561198037222425,6,28,24,2
76561198037222425,6,28,24,3
76561198037246903,13,481,24,1
76561198037246903,13,481,24,3
76561198037246903,13,481,24,2
76561198040729539,3,35,24,2
76561198040729539,3,35,24,3
76561198040729539,3,35,24,6
76561198042114922,7,79,3,1
76561198042114922,7,79,3,8
76561198042114922,7,79,3,10
76561198043040051,2,27,24,1
76561198046731438,7,62,24,1
76561198046731438,7,62,24,6
76561198046731438,7,62,24,10
76561198049611174,6,46,11,1
76561198049611174,6,46,11,2
76561198049611174,6,46,11,12
76561198061669144,7,24,24,1
76561198061669144,7,24,24,6
76561198061669144,7,24,24,2
76561198064055378,10,84,19,1
76561198064055378,10,84,19,6
76561198064055378,10,84,19,9
76561198064800033,9,473,23,1
76561198064800033,9,473,23,10
76561198068123705,8,38,3,1
76561198068123705,8,38,3,2
76561198068123705,8,38,3,6
76561198088342032,7,118,21,1
76561198088342032,7,118,21,12
76561198121696622,5,11,24,1
76561198121696622,5,11,24,6
76561198147075448,9,103,3,1
76561198147075448,9,103,3,6
76561198147075448,9,103,3,8
76561198151246013,7,155,11,1
76561198151246013,7,155,11,2
76561198151246013,7,155,11,3
76561198159956177,5,72,24,1
76561198192893105,10,36,3,6
76561198192893105,10,36,3,1
76561198192893105,10,36,3,12
76561198201248007,7,41,24,1
76561198328154513,3,32,3,1
76561198328154513,3,32,3,2
76561198336656213,4,0,12,1
76561198336656213,4,0,12,6
76561198354879869,10,84,24,1
76561198354879869,10,84,24,3
76561198354879869,10,84,24,10
76561198379680951,9,161,24,1
76561198379680951,9,161,24,2
76561198380925613,8,74,24,1
76561198380925613,8,74,24,10
76561198397520727,8,52,18,1
76561198397520727,8,52,18,3
76561198397520727,8,52,18,8
76561198731493400,6,60,11,1
76561198731493400,6,60,11,2
76561198731493400,6,60,11,3
76561198796747013,7,37,11,1
76561198796747013,7,37,11,9
76561198826718196,6,526,24,1
76561198826718196,6,526,24,3
76561198826718196,6,526,24,6
76561198885069362,8,296,24,1
76561198885069362,8,296,24,10
76561199027285610,8,101,24,1
76561199131606199,7,207,24,1
76561199131606199,7,207,24,3
