topic,keywords
0,"downloadable, content, game, review, campaign, buy, free, like, good, one, unit, war, shot, make, pay, tiger, play, soul, get, support, ai, dark, feel, go, receive, thank, least, great, bad, offer"
1,"game, play, assassin, great, creed, fun, good, little, one, really, story, like, since, love, awesome, time, gameplay, would, ever, graphic, pretty, get, feel, come, board, ezio, recommend, much, thing, buy"
2,"card, deck, hour, game, play, like, get, fun, match, hard, player, unlock, outcome, win, long, make, skill, story, lot, impact, end, uiux, even, try, mechanic, need, matter, good, paint, client"
3,"story, remake, good, gameplay, game, great, get, bad, hate, amazing, play, mech, like, thing, free, blow, turn, awesome, ever, even, one, dd, purchase, must, xcom, fun, would, hacker, valve, version"
4,"crash, puzzle, game, even, like, get, recommend, desktop, start, problem, style, still, sale, interesting, make, life, everything, hype, outer, solve, logic, play, solution, wild, frame, time, wich, would, eat, art"
5,"game, character, feel, like, story, get, make, time, go, one, even, good, take, lot, thing, combat, well, eu, play, use, would, ir, new, see, really, gameplay, need, also, bad, look"
6,"game, vr, like, much, content, first, play, really, update, make, release, year, still, even, bug, time, new, season, devs, hour, every, review, forgive, one, feel, fun, far, stuff, although, please"
7,"friend, game, play, try, coop, murder, enjoyable, great, fun, solo, also, board, recommend, join, get, would, kill, accidentally, developer, mechanic, little, control, know, free, keep, much, like, scream, ghost, support"
8,"city, game, builder, scenario, good, building, really, play, fun, survival, skyline, want, survive, duel, enjoy, pretty, story, mechanic, design, devs, great, try, recommend, still, traffic, citizen, mod, annoying, issue, postapocalyptic"
9,"shoot, game, every, like, one, gun, point, weapon, still, shooter, match, camera, character, lynch, even, play, player, rifle, get, make, quake, go, much, police, kl, actually, everything, horde, use, exp"
10,"frame, per, wolfenstein, second, shooter, nazi, good, order, new, fun, first, sequel, nice, game, war, perfectly, stealth, story, wish, upon, bloodrayne, goose, slowmo, horror, great, one, like, lovecraftian, ii, classic"
11,"server, ban, hour, game, make, go, play, ever, npc, person, get, good, responsible, admittedly, mandatory, atleast, like, alpha, discord, piss, lady, innocent, rage, cat, difference, supergiant, exact, back, since, account"
12,"buy, puzzle, sale, find, way, get, annoying, game, frustrating, pe, efootball, fade, screen, swap, block, available, different, refund, thing, area, end, several, know, bit, let, later, steam, kbm, kewl, website"
13,"zombie, cod, resident, pc, evil, game, rise, console, campaign, great, expect, file, old, classic, dead, look, port, second, fun, enjoy, yeah, still, ceo, ipresent, redfield, mode, frame, per, framerate, mindlessly"
14,"masterpiece, defense, metal, section, several, game, kombat, one, team, coop, make, ship, solo, world, gear, since, amazing, kojima, bonk, go, soundtrack, build, phantom, toy, mk, mortal, enemy, also, enjoyable, level"
15,"horror, creepy, pew, psychological, survival, scare, scary, fear, doom, kinda, zombie, super, space, holyyy, goodness, sorta, slayer, salvato, coexist, biophage, spergs, firepower, photosensetive, godawful, kawai, mod, amazing, game, cool, congratulation"
16,"far, cry, zombie, mod, game, like, play, make, devs, feel, time, day, fc, read, go, start, fire, really, well, take, shine, grind, less, build, love, still, would, fun, survive, garrys"
17,"bioshock, buggy, game, orignal, great, idea, sr, bug, still, daddy, ending, remastere, play, version, remastered, flaw, finish, appreciate, book, company, nothing, prefer, really, behind, mess, light, lot, epic, depth, cause"
18,"writing, borderland, graphic, choice, great, world, wolf, sale, gameplay, discount, story, storyline, part, despite, smooth, like, love, feel, despise, wellmatched, snowmobile, droid, duke, cringe, inexistent, flickering, shepard, pixelart, ethan, mobility"
19,"half, life, original, source, series, whole, yes, ahhh, welp, teary, sourcemod, influential, finish, abomination, freeman, hl, insane, spinoff, unable, lover, flashlight, well, halflife, graphic, argument, answer, glorious, ahead, strongly, wonderful"
20,"fallout, mod, game, use, rpgs, bethesda, care, one, fix, least, town, love, vat, different, good, contrary, redemption, world, achievement, vanilla, developer, really, play, way, freedom, quest, give, even, red, get"
21,"disconnect, coop, fix, buy, misson, microsoft, play, online, server, game, brother, connection, app, issue, till, day, ea, fail, fuck, gain, waste, fine, launch, get, devs, single, crash, lose, httpsyoutubetejsaojvuq, sudden"
22,"hitman, franchise, breadman, diana, dosent, agent, freelancer, background, ultimate, count, favourite, absolute, legend, obviously, alone, storyline, explore, stick, plus, must, hand, fan, main, mode, worth, series, ever, level, know, buy"
23,"row, saint, merrily, walker, world, shoot, violation, department, good, konrad, virtual, dude, make, look, model, game, chapter, step, theme, one, storyline, moment, open, pretty, vault, modesty, relese, hallucinate, charismatic, fictional"
24,"halo, multiplayer, way, mp, well, hey, duty, package, come, though, really, shape, guardian, custom, campaign, map, horrible, nothing, series, story, believe, franchise, etc, say, stand, miss, call, single, game, think"
25,"gi, meat, straight, epic, tis, fragrance, kiddo, tuesday, loneliness, hamburger, viscera, tract, taco, sacred, filthy, erode, er, emptiness, disgrace, suffocate, cleaning, sanity, soothing, oblivion, starve, bleed, induce, ems, ritual, vomit"
