topic,keywords
0,"character, feel, game, story, make, like, time, get, go, lot, eu, even, one, take, ir, combat, well, new, thing, good, see, use, would, need, system, also, really, gameplay, real, enemy"
1,"buy, worth, sale, money, efootball, pe, refund, goofy, dollar, generation, valve, get, price, game, garbosexual, times, website, steamstore, wadjet, weary, abandonware, jab, clownshow, fable, def, novelty, leftover, kewl, kbm, sync"
2,"murder, friend, accidentally, kill, scream, ghost, gi, morality, hear, meat, guess, straight, join, wish, know, room, need, laugh, endless, epic, possiblitie, emptiness, pha, em, psychiatrist, er, earphone, psychopatch, erode, purity"
3,"play, awesome, imersive, dad, ukraine, hop, relax, good, great, buy, friend, strategy, pretty, accedently, forgot, pm, touching, faff, game, one, beat, long, lure, kindly, breaker, bro, milsim, wait, want, cool"
4,"game, like, content, play, release, season, much, forgive, review, first, year, bug, really, bad, every, update, even, never, time, far, start, one, make, although, world, maybe, still, hitman, dlcs, place"
5,"blow, girl, aye, award, chase, house, laugh, xlite, whoosh, giv, hallie, demonic, crunchy, horny, coggin, petal, porn, rhody, rosa, sized, strawberry, teater, walton, thing, presence, relaxed, hehe, fatshark, hentai, aunt"
6,"unit, war, tiger, defense, campaign, make, several, map, poorly, soldier, falaise, offer, battle, team, section, commander, pocket, relic, skin, lose, interesting, buy, since, game, problem, hate, pointless, content, coop, small"
7,"writing, gameplay, story, cutscene, great, borderland, payne, stagger, meaningful, bit, max, family, graphic, actual, etc, discount, really, bother, part, although, feel, difficulty, scene, weak, member, fiction, much, good, like, character"
8,"card, deck, match, outcome, unlock, player, uiux, impact, client, skill, hearthstone, win, mobile, rewarding, faeria, plane, depth, playfield, mechanic, hs, balance, similar, tech, get, single, even, gold, coinfliprng, randomness, game"
9,"molotovs, awdeome, aweosme, hlalyx, helldiver, good, border, creative, yes, wonderfully, alright, st, complex, improvement, nearly, horrible, well, room, say, throw, shot, simply, everyone, incredible, pretty, face, guess, atmosphere, man, great"
10,"crash, problem, desktop, audio, file, fix, ubisoft, dx, integrity, constantly, verify, contact, issue, vsync, everytime, start, waste, frame, customer, launch, try, service, unplayable, answer, hope, wich, update, apparently, fail, total"
11,"wolfenstein, nazi, shooter, order, rise, sequel, new, fun, nice, devil, war, stealth, first, upon, dead, goose, bloodrayne, ii, lovecraftian, horror, colossus, franchise, bf, castle, commit, story, cry, gun, blade, perfectly"
12,"amazing, story, awesome, history, must, good, gameplay, great, reference, excellent, love, narrative, resi, hosea, anybody, dated, suspend, co, disbelief, xen, incomplete, dutch, everybody, golden, ever, interesting, little, game, teach, museum"
13,"fcking, minute, play, fast, dismount, pwn, mcpixel, addicted, reader, chair, billion, game, invest, know, simple, like, really, nothing, quite, stuff, boring, little, deserve, accidentally, enjoy, gaming, addictive, girl, truly, find"
14,"review, upgrade, overpowered, rally, reviewer, positive, even, hybrid, support, slot, pathetic, game, neutral, arena, receive, overly, spend, content, poor, blast, engine, nice, downloadable, serious, finish, totally, push, tedious, figure, believe"
15,"halo, shoot, multiplayer, quake, weapon, lynch, camera, rifle, gun, player, kl, police, use, exp, match, game, even, every, point, oh, like, series, exist, way, however, shootout, still, one, actually, get"
16,"friend, resource, game, enjoyable, magick, solo, control, try, recommend, island, developer, board, wish, would, play, join, fun, sale, mechanic, much, design, part, aspect, platforme, worth, bit, item, great, nice, least"
17,"city, builder, scenario, building, skyline, survival, survive, citizen, traffic, postapocalyptic, automate, devs, want, mod, interested, asset, custom, machine, limit, survivor, basebuilde, scripted, bob, simcity, anyone, try, recommend, drawback, access, limited"
18,"shooter, person, shooting, looter, booster, innovative, first, shoot, friendnamehere, tm, gep, recomment, hi, unarmed, scp, firearm, enhance, hello, corridor, message, motion, activity, decade, civilian, shame, important, year, among, great, blast"
