topic,keywords
0,"game, character, feel, story, make, get, like, time, go, one, take, eu, even, lot, ir, combat, thing, good, use, would, need, see, well, also, gameplay, bad, play, feature, way, new"
1,"play, awesome, imersive, dad, ukraine, hop, fp, relax, great, good, buy, pretty, game, forgot, faff, touching, accedently, funtoplay, molotovs, long, one, unexpectedly, candidate, breaker, kindly, want, cool, milsim, bro, scroll"
2,"bioshock, remake, masterpiece, metal, great, game, kombat, orignal, story, sequel, remastered, amazing, really, besides, mafia, version, nothing, gear, kojima, daddy, idea, well, good, make, mortal, definitive, phantom, mk, soundtrack, remastere"
3,"screen, game, minute, find, fast, fcking, puzzle, board, like, really, play, app, little, enjoy, simple, know, interest, away, addictive, get, mcpixel, pwn, dismount, boring, stuff, tedious, fade, explanation, addicted, reader"
4,"murder, accidentally, friend, ghost, scream, kill, gi, hear, meat, straight, know, room, laugh, endless, epic, uncloude, talkie, psychiatrist, funniest, suffocate, filthy, meth, fragrance, psychopatch, purity, viscera, erode, er, murderspy, greentext"
5,"story, great, cutscene, gameplay, feel, writing, borderland, stagger, meaningful, group, actual, conversation, like, chat, etc, good, part, graphic, dialogue, really, discount, realistic, rail, scene, fun, weak, pretty, decent, periodically, fiction"
6,"content, game, like, downloadable, release, first, really, season, forgive, much, bad, play, row, saint, time, review, feel, even, bug, place, year, every, back, bioshock, mediocre, side, make, go, progress, messy"
7,"buy, sale, efootball, pe, refund, money, goofy, worth, get, price, fun, abandonware, clownshow, leftover, jab, kbm, kewl, novelty, steamstore, sync, times, weary, website, steam, fast, game, furry, even, give, repetetive"
8,"crash, desktop, problem, dx, constantly, fix, start, contact, vsync, everytime, waste, frame, customer, hope, answer, unplayable, file, wich, update, total, fail, even, horrible, everything, per, setting, past, second, screen, launch"
9,"free, downloadable, content, pay, campaign, make, online, httpswwwhumblebundlecomstorecompanyofheroeshmbsourcecompanyofheroesfreegamehmbmediumbanner, dumbe, eadice, mechanistic, farming, shred, warcrime, paying, scan, chubby, cent, humblebundle, come, update, developer, mw, buy, least, profit, portion, alienate, nonsense, raise"
10,"campaign, unit, soldier, tiger, war, map, offer, sniping, falaise, fox, pocket, commander, buy, relic, game, shot, hero, awful, poorly, expansion, red, ill, theater, hen, causeway, playerplayer, ru, panzer, content, dawn"
11,"puzzle, plot, style, outer, art, like, wild, sale, would, tacoma, room, chapter, might, solve, talos, require, philosophy, principle, wander, deterministic, logic, make, thin, solution, lovely, early, creativity, mythology, think, interested"
12,"city, builder, scenario, building, skyline, survival, survive, citizen, traffic, want, devs, automate, postapocalyptic, mod, interested, asset, machine, custom, limit, survivor, try, recommend, scripted, bob, simcity, basebuilde, anyone, drawback, limited, access"
13,"card, deck, outcome, match, impact, skill, client, uiux, player, hearthstone, win, mobile, playfield, unlock, hs, depth, mechanic, single, rewarding, gold, faction, randomness, coinfliprng, play, similar, interesting, game, like, lot, even"
14,"review, rally, overpowered, positive, support, hybrid, upgrade, receive, content, nice, even, game, blast, poor, downloadable, finish, totally, kid, believe, figure, row, saint, one, focus, name, fun, weapon, thank, edit, negative"
15,"shooter, shooting, looter, booster, innovative, person, shoot, hi, gep, tm, recomment, friendnamehere, unarmed, firearm, hello, enhance, motion, activity, decade, civilian, year, great, shame, among, blast, date, time, first, soundtrack, third"
16,"hour, damn, nuff, throb, time, bing, quite, thoroughly, headache, entertain, rage, much, five, supergiant, period, chill, slightly, end, start, long, nearly, earn, game, first, one, along, suck, choose, become, except"
17,"helldiver, awdeome, aweosme, yes, border, wonderfully, alright, st, complex, nearly, good, say, horrible, pretty, simply, everyone, incredible, guess, well, might, really, great, time, one, like, , , , , "
18,"frame, per, second, slowmo, wish, oh, good, likey, ppl, pregger, armaand, silently, peek, optimizedimprove, configure, decadedemon, descope, directional, norespawn, mwno, lotr, latency, footstep, founder, shooter, scoreboard, monolith, disable, corner, warzone"
19,"friend, enjoyable, magick, game, solo, try, join, great, recommend, match, mechanic, least, board, sale, spell, price, kongregate, free, variety, much, definitely, host, would, especially, another, worth, simple, bundle, steam, multiplayer"
20,"story, amazing, history, must, awesome, reference, gameplay, narrative, good, dutch, co, pascal, dated, incomplete, disbelief, hosea, resi, golden, suspend, anybody, really, great, cinema, cinematography, museum, hl, anyways, redemption, library, skyrim"
21,"horror, creepy, psychological, survival, scary, scare, fear, kill, kinda, purge, photosensetive, salvato, kawai, slayer, holyyy, unclean, goodness, firepower, sorta, zombie, super, congratulation, afraid, mutant, starve, heretic, mod, cool, scared, illness"
22,"buggy, break, sr, timeline, ending, parkour, flaw, game, clunky, bug, hard, edit, beat, glitchy, havoc, bummer, absurd, upset, jc, loose, lovin, midmission, monumentally, reg, sustain, troll, lot, challenge, hit, lack"
23,"half, life, source, original, series, ahhh, influential, sourcemod, teary, welp, whole, yes, well, hl, insane, finish, unable, flashlight, lover, halflife, virtual, argument, answer, glorious, wonderful, ahead, strongly, reality, standard, graphic"
24,"fallout, mod, rpgs, use, bethesda, care, game, town, fix, least, vat, redemption, contrary, love, one, vanilla, different, achievement, developer, world, freedom, good, red, quest, way, really, change, give, bug, choose"
25,"blow, aye, laugh, thing, horny, porn, whoosh, petal, fatshark, depressed, proud, beauty, bang, boom, scroll, fart, smile, go, sht, happy, loud, among, ok, ass, max, close, cause, literally, stuff, keep"
26,"card, play, battle, free, fun, rival, sound, roguelike, wonder, live, vs, usually, like, computer, age, minute, also, channel, deter, gameit, expletive, gamepass, regni, charactersgod, ckii, collecting, comob, cox, meow, totaly"
