game,cleaned_reviews,num_words,review_length,embedding_0,UMAP_1,UMAP_2
L.A. Noire,I like push npc car die,6,23,-0.0974572,13.3063965,8.543323
L.A. Noire,damn solve case satisfying,4,26,-0.029979708,14.574967,6.994128
L.A. Noire,play like detective tv series case per day,8,42,-0.024094824,11.028924,10.414371
L.A. Noire,case really easy fuck case hard beat final boss dark soul series laugh loud regard thing game generally great work much potential various mechanic even think,26,157,-0.04949693,13.146644,9.903057
L.A. Noire,play police side gta coin deal mess maniacs leave behind know I drool rockstar game steam every time I look comment section see people complain social club feature completely put I title someone limited internet access disdain fill form I mainly play offline I buy ago sale get game download crawl internet good test I think see game function offline I start la noire ask I create social club account right hand side menu small print create local profile I go option create local profile ask I type name I could play offline need social club could play completely offline day test pass game game feature heavily character interaction communication like I experience I never one care thing like lip synch technique incase someone want see good case study lip synchronization facial feature animation well matter lifelike even though model slightly date character narrative show cutscene style also investigate give action npc reaction lifelike give take speak facial animation game purely technical achievement art style point literally feature read person body language interrogate look behaviour facial expression really lifelike see personality sometimes subtle facial animation alone remarkable world flat claim world round one definitely probably use lot well open world city type scenery lot small attention detail world densely create professional art overall I would call clinical cleanliness feel well describe look simulator sort instead try beautify everything run good k humble pc pleasant experience plenty old fashioned car beautifully create play responsive enough enjoy drive place world bit lacking colour afraid use colourful language red pixel bullet start fly right side law give plenty slack restrict fun play throw enough bad guy death wish balance detective work action neat game,281,1801,-0.03549598,10.380385,11.550258
L.A. Noire,hig represent,2,13,-0.06199878,13.538391,5.811657
L.A. Noire,long time ago pc gamer kill mother rockstar ceo since ceo torture pc gamer port crappy framerate dumbass drm,19,108,0.040066604,14.261047,10.727146
L.A. Noire,good game,2,9,-0.06269227,14.351171,7.1311345
L.A. Noire,movie la confidential except game well play black white maximum atmosphere rockstar show western dev deliver truly gritty crime game la noire absolutely smash mafia back good noir game year great game average port really bad draw distance pop shadow look rough even high setting controller support non rebindable seem run well although sometimes hard crash quit game action adventure light action part heavy adventure shootout gunplay occur side mission gta world semi open pull gun fight say shooting driving feel like refined gta iv kind game david cage would make make actual game real gameplay game base around collect clue dialogue option like kind game like follow police officer cole phelp rise rank lapd first patrolman detective progress four detective desk traffic homicide vice finally arson bring pervert movie producer find truth behind black dahlia murderer uncover sinister conspiracy involve return servicemen real estate developer kosher mob poppsychologist even lapd,151,984,-0.037438337,11.035007,10.963852
L.A. Noire,amazing game nice change police side mayhem cause year gaming finish game I also say one well long storywise interesting game I ever play I think fill void leave mafia I genuinely feel sad finish game,36,200,-0.03548841,11.248052,8.554327
DARK SOULS™ II: Scholar of the First Sin,ambush attack city,3,18,-0.035685576,10.336027,10.58678
DARK SOULS™ II: Scholar of the First Sin,ah finally kill first boss,5,26,0.009390192,12.921301,7.4210677
DARK SOULS™ II: Scholar of the First Sin,good soul,2,9,-0.07187149,14.752064,5.9841933
DARK SOULS™ II: Scholar of the First Sin,ok let I honest dark soul bad game time good I think reason fact play game I play dark soul masterpiecea complete package like I still remeber I able forget dark soul week complete game like seriously day I end game I completely empty like I want I want know lore area story behind character end place I literally remember spend hour research good part dark soul I play game complete I like even dark soul like story memorable character intreste boss fight oh god boss easy literally take I hrs exclude dlcs complete game compare dark soul dude I literally spend hrs game boss battle st game actual hard meorable make dark soul know hard boss battle find joy frustration struggle find way game literally miss game boss easy already know game know travellike dosent give player chance figure thing good part yeah compare predecessor game improve gameplay dark sousls pretty slow place game last thing hate porting like scholar first sin version atleast well portthey dark soul prepare die edition though fix remastered edition dark soul though major issue get use control yeah player new seriesit often frustrate final verdict game bad play masterpiece like dark soul hop onto dark soul experience disappointed,205,1209,0.03522723,10.429365,11.460811
DARK SOULS™ II: Scholar of the First Sin,bad could well,3,14,-0.071563564,14.3374,5.8501325
DARK SOULS™ II: Scholar of the First Sin,good dark soul ever ever say otherwise muh wierdly place tree near cardinal tower shut,15,86,0.02994004,11.904431,6.670073
DARK SOULS™ II: Scholar of the First Sin,downloadable content good dark soul find whole series hard first game,11,69,-0.036310516,13.399469,9.7060375
DARK SOULS™ II: Scholar of the First Sin,bit different still good,4,24,0.011960325,15.087785,7.1061206
DARK SOULS™ II: Scholar of the First Sin,good,1,4,-0.07652353,14.647549,5.5044074
DARK SOULS™ II: Scholar of the First Sin,nice,1,4,-0.05686169,14.56461,4.957729
The Tiny Bang Story,completely unplayable puzzle color blind people besides short little substance puzzle plot,12,90,0.015514631,12.701643,9.97542
"Warhammer 40,000: Gladius - Relics of War",clever take warhammer k universe almost one make civlite base wh k universe infamous faction totally unique building unit style play,21,132,-0.048774302,11.611149,11.283316
"Warhammer 40,000: Gladius - Relics of War",I pay worth look dlcall faction game base launch lazy couple hour custom game turn crash every time I try end turn fuck game lack replayability personality feel like warhammer game feel like game use warhammer skin,37,214,-0.030174034,13.987128,11.003059
"Warhammer 40,000: Gladius - Relics of War",quite hard enjoyable nonetheless buy discount pretend diplomacy like civ series fight discussion peaceful victory,15,113,-0.05830897,12.774571,9.900592
Hard West,goofy get probably offensive many I recommend yet really good tactical game lot cool story idea,16,95,-0.0065350523,11.639685,9.644127
Hard West,interesting game nice graphic excellent atmosphere story however customer assistance incredibly good I problem frequent crash desktop make game unplayable I contact customer service without hope instead answer quickly politely read email frame immediately problem answer I insert couple line conf file etc I linux work apparently trick solve another problem crash desktop another game old empire total war,59,405,0.033105772,14.740404,10.742117
Hard West,real deal,2,9,-0.12629807,14.906032,5.41572
Fallout 4,I really hate fallout conversation seem artificial story really unintereste lore change previous game add need fusion core use power armour least favourite addition easily fix use mod get achievement mod enable fix use another mod dialogue interface really really bad singular character I give fk I zero motive game entire thing seem uninspired even vat ruin game gun play suck ammo hard find ill probably eventually finish game I love fallout series seriously even fallout unironically enjoyable edit game play exploration enjoyable thing aspect I love I loathe also every single achievement hide tf mean game without know complete achievement,101,644,0.056508526,11.670412,10.789048
Fallout 4,fallout good game yes fallout good fallout game eh maybe decent good fallout fun gameplay idea lack depth especially world building also usual use mod want play bethesda game work,30,179,0.023067415,11.741978,10.703408
Fallout 4,buy crash far much,4,18,0.07586203,14.94028,10.847591
