topic,keywords
0,"character, feel, game, make, like, story, get, time, go, take, lot, even, cancer, use, well, one, eu, syndrome, ir, thing, see, combat, good, would, real, also, enemy, new, may, gameplay"
1,"puzzle, game, like, content, back, much, make, review, place, still, release, first, season, even, forgive, would, really, year, every, play, try, think, enjoy, way, stuff, happen, time, new, find, far"
2,"horror, creepy, fear, crysis, psychological, amazing, graphic, game, kinda, opinion, survival, spec, scare, scary, classic, really, fan, pc, aside, cool, style, recommend, frame, see, per, buy, old, hold, visual, pretty"
3,"shoot, camera, lynch, match, even, player, defense, point, rifle, use, weapon, get, loot, gun, kl, police, every, xcom, exp, one, information, combat, base, level, game, man, go, still, oh, type"
4,"story, writing, gameplay, cutscene, borderland, stagger, great, really, meaningful, character, feel, family, graphic, actual, lot, etc, discount, good, dialogue, realistic, bother, part, although, fun, like, scene, development, weak, bit, member"
5,"card, deck, match, outcome, unlock, uiux, player, impact, hearthstone, mana, client, skill, creature, win, faeria, pay, balance, rewarding, mechanic, plane, depth, land, mobile, playfield, play, single, hs, get, similar, tech"
6,"row, review, saint, look, merrily, jalopy, one, chapter, good, game, journey, incredibly, make, instead, thing, gameplay, world, poor, walker, level, upgrade, violation, weapon, love, department, rally, overpowered, reveal, mechanism, set"
7,"relax, awesome, music, good, pretty, great, play, faff, criminally, pikuniku, hangover, game, ever, calm, unexpectedly, candidate, help, milsim, miami, dad, charming, bro, cool, listen, scroll, short, goty, zone, fp, chill"
8,"game, check, girl, play, fcking, really, minute, anime, fun, fast, mcpixel, pwn, dismount, like, nothing, boring, addicted, reader, inside, board, chair, billion, somewhere, little, control, enjoy, mode, invest, know, get"
9,"government, us, blow, aye, award, love, cover, laugh, xlite, whoosh, giv, horny, crunchy, kennedy, mason, petal, porn, president, roof, assassinate, sized, thing, relaxed, seat, hentai, fatshark, go, proud, alex, bang"
10,"wolfenstein, nazi, gunslinger, juarez, shooter, order, nice, rise, sequel, new, fun, devil, war, stealth, call, first, blood, upon, dead, bloodrayne, goose, ii, lovecraftian, story, give, horror, colossus, west, franchise, good"
11,"mafia, bioshock, masterpiece, orignal, kombat, game, metal, kojima, vito, daddy, gear, nothing, play, idea, mk, phantom, mortal, definitive, great, remastere, cause, one, else, remastered, say, feel, love, story, good, version"
12,"crash, desktop, problem, dx, constantly, contact, fix, vsync, everytime, start, waste, frame, customer, unplayable, answer, hope, wich, file, update, total, fail, horrible, even, everything, per, setting, past, driver, formulate, linux"
