Cluster,Top_Keywords
0,"['card', 'play', 'character', 'like', 'feel', 'game', 'make', 'get', 'even', 'one']"
1,"['fart', 'pew', 'laugh', 'boom', 'blow', 'aye', 'go', 'good', 'meh', 'yes']"
2,"['fun', 'friend', 'relax', 'game', 'good', 'long', 'awesome', 'great', 'ever', 'excellent']"
3,"['content', 'play', 'like', 'would', 'game', 'even', 'get', 'much', 'really', 'go']"
4,"['gameplay', 'story', 'character', 'play', 'like', 'great', 'game', 'really', 'one', 'good']"
5,"['crash', 'pc', 'play', 'file', 'frame', 'issue', 'game', 'per', 'second', 'fix']"
6,"['efootball', 'buy', 'play', 'pe', 'money', 'sale', 'still', 'game', 'imersive', 'get']"
7,"['kill', 'old', 'fun', 'alive', 'still', 'dead', 'people', 'know', 'shoot', 'back']"
8,"['review', 'downloadable', 'pay', 'content', 'game', 'free', 'buy', 'pathetic', 'get', 'make']"
9,"['bir', 'nicht', 'des', 'oyun', 'vous', 'le', 'jeu', 'en', 'den', 'de']"
10,"['scare', 'survival', 'evil', 'creepy', 'horror', 'psychological', 'game', 'scary', 'resident', 'cute']"
