UserID,Page,Game,Rating,Review,Playtime,PostedDate
76561198012450682,1,N/A,Recommended,Idle Fishing is a fun idle game with cute graphics & fun ascension & upgrade system & a great variety of zones. With features such as the Auto-Clicker and active catch mechanics, its a fun game for casual id;ers and dedicated idlers alike, its a fun game for casual id;ers and dedicated idlers alike",45.1 hrs on record																					(37.2 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,fun and innovative deckbuilding game, better with friends than solo, better with friends than solo",88.8 hrs on record																					(82.4 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,"Easy idle baking game, I've played many idle games & this one's easy to understand & play.  Like other idle games there are microtransactions that would make the game less grindy, but in no way is this pay to win, and  Idle Baker Boss does feel less grindy than any other idles I've played, if you enjoy the game i recommend joining the discord, lots of players on there to help with tips and the dev is active on there too",517.4 hrs on record																					(40.6 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,"This game is a great way to combine two play styles of idle/active.  You control these strange creatures called derps, you breed them to make better and more derps so that you can produce cookies to upgrade things, build an army and to do research to earn points to upgrades skills, theres two skill trees, one that focuses on idle another on active play, but you can upgrade both, at the time of writing this my steam playtime is quite low, but i played on Kongregate for a long time and am so happy its come to steam And while there ARE real money transactions, you will NOT be forced into spending money in order to get all the good stuff, you can easily get it for free, how long that takes will simply depend on your playstyle and your patience level",16.0 hrs on record																					(1.4 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,a cute and fun game of strategy,694.9 hrs on record																					(101.5 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,Fun idle game,107.2 hrs on record																					(62.0 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,I love this game, easy to learn & challenging to master. The matches are quick and there's lots of different tactics to gain victory so it doesn't get repetitive. Single player option as well as the option to play with friends who own the game or a randomly selected real person, challenge mode as well and quests to complete to gain coins in order to buy more card, i did buy this in a sale, but to be honest, if you like card games then the full price is worth it too, easy to learn & challenging to master. The matches are quick and there's lots of different tactics to gain victory so it doesn't get repetitive. Single player option as well as the option to play with friends who own the game or a randomly selected real person, challenge mode as well and quests to complete to gain coins in order to buy more card, i did buy this in a sale, but to be honest, if you like card games then the full price is worth it too, easy to learn & challenging to master.  The matches are quick and there's lots of different tactics to gain victory so it doesn't get repetitive. Single player option as well as the option to play with friends who own the game or a randomly selected real person, challenge mode as well and quests to complete to gain coins in order to buy more card, i did buy this in a sale, but to be honest, if you like card games then the full price is worth it too",126.3 hrs on record																					(7.6 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,"Welcome to your new job as the grim reaper! Fate has 'created' you, following his daily instructions, and with tips picked up from your mobile phone, you have to decide on the fate of various people from the profiles provided, its not an easy job, sometimes fates instructions conflict with the info from your phone, its up to you to decide the best route to take in order for the world not to end up in ruins! if fate is pleased with you each day he will pay you, and you can spend this money in mortimers shop on a variety of items, some are cosmetic, and some help with the game, be sure to visit him often! There are a bunch of fun achievements to get, some easy, some hard and some in between Artwork is cool and the game has a jolly soundtrack I played this games demo, which alone was brilliant, so was very excited to buy the full game, and i was not disappointed! Well done devs!",19.5 hrs on record																					(2.9 hrs at review time),N/A
76561198012450682,1,N/A,Recommended,"Demo Review: Although this is only the demo so far, this game is really fun! you are the grim reaper, and your boss, fate, gives you a few profiles each day of different people and you have to decide who lives or dies, fate gives you instructions (rules) each day to follow, such as mark x amount for death, and your in game mobile phone buzzes with some info to help you make your choices, as following fates daily instructions may not always be the best course of action for the world, you decide! but dont annoy him too much or you will get fired lol Cant wait for the full release next week! if the full game is as awesome as the demo then i will be a very happy woman :D",4.0 hrs on record,N/A
76561198012450682,1,N/A,Recommended,"a really fun card game, not too simple, not too complicated, its just right :D",5.5 hrs on record																					(3.2 hrs at review time),N/A
